StateCounty,Unknown,Bolted,Unbolted,Engineered
IAShelby County,0,0,0,0
IASioux County,0,0,0,0
IAStory County,0,0,0,0
IATama County,0,0,0,0
IATaylor County,0,0,0,0
IAUnion County,0,0,0,0
IAVan Buren County,0,0,0,0
IAWapello County,0,0,0,0
IAWarren County,0,0,0,0
IAWashington County,0,0,0,0
IAWayne County,0,0,0,0
IAWebster County,0,0,0,0
IAWinnebago County,0,0,0,0
IAWinneshiek County,0,0,0,0
IAWoodbury County,0,0,0,0
IAWorth County,0,0,0,0
IAWright County,0,0,0,0
IDAda County,0,0,0,0
IDAdams County,0,0,0,0
IDBannock County,0,0,0,0
IDBear Lake County,0,0,0,0
IDBenewah County,0,0,0,0
IDBingham County,0,0,0,0
IDBlaine County,0,0,0,0
IDBoise County,0,0,0,0
IDBonner County,0,0,0,0
IDBonneville County,0,0,0,0
IDBoundary County,0,0,0,0
IDButte County,0,0,0,0
IDCamas County,0,0,0,0
IDCanyon County,0,0,0,0
IDCaribou County,0,0,0,0
IDCassia County,0,0,0,0
IDClark County,0,0,0,0
IDClearwater County,0,0,0,0
IDCuster County,0,0,0,0
IDElmore County,0,0,0,0
IDFranklin County,0,0,0,0
IDFremont County,0,0,0,0
IDGem County,0,0,0,0
IDGooding County,0,0,0,0
IDIdaho County,0,0,0,0
IDJefferson County,0,0,0,0
IDJerome County,0,0,0,0
IDKootenai County,0,0,0,0
IDLatah County,0,0,0,0
IDLemhi County,0,0,0,0
IDLewis County,0,0,0,0
IDLincoln County,0,0,0,0
IDMadison County,0,0,0,0
IDMinidoka County,0,0,0,0
IDNez Perce County,0,0,0,0
IDOneida County,0,0,0,0
IDOwyhee County,0,0,0,0
IDPayette County,0,0,0,0
IDPower County,0,0,0,0
IDShoshone County,0,0,0,0
IDTeton County,0,0,0,0
IDTwin Falls County,0,0,0,0
IDValley County,0,0,0,0
IDWashington County,0,0,0,0
ILAdams County,0,0,0,0
ILAlexander County,0,0,0,0
ILBond County,0,0,0,0
ILBoone County,0,0,0,0
ILBrown County,0,0,0,0
ILBureau County,0,0,0,0
ILCalhoun County,0,0,0,0
ILCarroll County,0,0,0,0
ILCass County,0,0,0,0
ILChampaign County,0,0,0,0
ILChristian County,0,0,0,0
ILClark County,0,0,0,0
ILClay County,0,0,0,0
ILClinton County,0,0,0,0
ILColes County,0,0,0,0
ILCook County,0,0,0,0
ILCrawford County,0,0,0,0
ILCumberland County,0,0,0,0
ILDe Witt County,0,0,0,0
ILDekalb County,0,0,0,0
ILDouglas County,0,0,0,0
ILDupage County,0,0,0,0
ILEdgar County,0,0,0,0
ILEdwards County,0,0,0,0
ILEffingham County,0,0,0,0
ILFayette County,0,0,0,0
ILFord County,0,0,0,0
ILFranklin County,0,0,0,0
ILFulton County,0,0,0,0
ILGallatin County,0,0,0,0
ILGreene County,0,0,0,0
ILGrundy County,0,0,0,0
ILHamilton County,0,0,0,0
ILHancock County,0,0,0,0
ILHardin County,0,0,0,0
ILHenderson County,0,0,0,0
ILHenry County,0,0,0,0
ILIroquois County,0,0,0,0
ILJackson County,0,0,0,0
ILJasper County,0,0,0,0
ILJefferson County,0,0,0,0
ILJersey County,0,0,0,0
ILJo Daviess County,0,0,0,0
ILJohnson County,0,0,0,0
ILKane County,0,0,0,0
ILKankakee County,0,0,0,0
ILKendall County,0,0,0,0
ILKnox County,0,0,0,0
ILLa Salle County,0,0,0,0
ILLake County,0,0,0,0
ILLawrence County,0,0,0,0
ILLee County,0,0,0,0
ILLivingston County,0,0,0,0
ILLogan County,0,0,0,0
ILMacon County,0,0,0,0
ILMacoupin County,0,0,0,0
ILMadison County,0,0,0,0
ILMarion County,0,0,0,0
ILMarshall County,0,0,0,0
ILMason County,0,0,0,0
ILMassac County,0,0,0,0
ILMcdonough County,0,0,0,0
ILMchenry County,0,0,0,0
ILMclean County,0,0,0,0
ILMenard County,0,0,0,0
ILMercer County,0,0,0,0
ILMonroe County,0,0,0,0
ILMontgomery County,0,0,0,0
ILMorgan County,0,0,0,0
ILMoultrie County,0,0,0,0
ILOgle County,0,0,0,0
ILPeoria County,0,0,0,0
ILPerry County,0,0,0,0
ILPiatt County,0,0,0,0
ILPike County,0,0,0,0
ILPope County,0,0,0,0
ILPulaski County,0,0,0,0
ILPutnam County,0,0,0,0
ILRandolph County,0,0,0,0
ILRichland County,0,0,0,0
ILRock Island County,0,0,0,0
ILSaline County,0,0,0,0
ILSangamon County,0,0,0,0
ILSchuyler County,0,0,0,0
ILScott County,0,0,0,0
ILShelby County,0,0,0,0
ILSt. Clair County,0,0,0,0
ILStark County,0,0,0,0
ILStephenson County,0,0,0,0
ILTazewell County,0,0,0,0
ILUnion County,0,0,0,0
ILVermilion County,0,0,0,0
ILWabash County,0,0,0,0
ILWarren County,0,0,0,0
ILWashington County,0,0,0,0
ILWayne County,0,0,0,0
ILWhite County,0,0,0,0
ILWhiteside County,0,0,0,0
ILWill County,0,0,0,0
ILWilliamson County,0,0,0,0
ILWinnebago County,0,0,0,0
ILWoodford County,0,0,0,0
INAdams County,0,0,0,0
INAllen County,0,0,0,0
INBartholomew County,0,0,0,0
INBenton County,0,0,0,0
INBlackford County,0,0,0,0
INBoone County,0,0,0,0
INBrown County,0,0,0,0
INCarroll County,0,0,0,0
INCass County,0,0,0,0
INClark County,0,0,0,0
INClay County,0,0,0,0
INClinton County,0,0,0,0
INCrawford County,0,0,0,0
INDaviess County,0,0,0,0
INDearborn County,0,0,0,0
INDecatur County,0,0,0,0
INDekalb County,0,0,0,0
INDelaware County,0,0,0,0
INDubois County,0,0,0,0
INElkhart County,0,0,0,0
INFayette County,0,0,0,0
INFloyd County,0,0,0,0
INFountain County,0,0,0,0
INFranklin County,0,0,0,0
INFulton County,0,0,0,0
INGibson County,0,0,0,0
INGrant County,0,0,0,0
INGreene County,0,0,0,0
INHamilton County,0,0,0,0
INHancock County,0,0,0,0
INHarrison County,0,0,0,0
INHendricks County,0,0,0,0
INHenry County,0,0,0,0
INHoward County,0,0,0,0
INHuntington County,0,0,0,0
INJackson County,0,0,0,0
INJasper County,0,0,0,0
INJay County,0,0,0,0
INJefferson County,0,0,0,0
INJennings County,0,0,0,0
INJohnson County,0,0,0,0
INKnox County,0,0,0,0
INKosciusko County,0,0,0,0
INLagrange County,0,0,0,0
INLake County,0,0,0,0
INLaporte County,0,0,0,0
INLawrence County,0,0,0,0
INMadison County,0,0,0,0
INMarion County,0,0,0,0
INMarshall County,0,0,0,0
INMartin County,0,0,0,0
INMiami County,0,0,0,0
INMonroe County,0,0,0,0
INMontgomery County,0,0,0,0
INMorgan County,0,0,0,0
INNewton County,0,0,0,0
INNoble County,0,0,0,0
INOhio County,0,0,0,0
INOrange County,0,0,0,0
INOwen County,0,0,0,0
INParke County,0,0,0,0
INPerry County,0,0,0,0
INPike County,0,0,0,0
INPorter County,0,0,0,0
INPosey County,0,0,0,0
INPulaski County,0,0,0,0
INPutnam County,0,0,0,0
INRandolph County,0,0,0,0
INRipley County,0,0,0,0
INRush County,0,0,0,0
INScott County,0,0,0,0
INShelby County,0,0,0,0
INSpencer County,0,0,0,0
INSt. Joseph County,0,0,0,0
INStarke County,0,0,0,0
INSteuben County,0,0,0,0
INSullivan County,0,0,0,0
INSwitzerland County,0,0,0,0
INTippecanoe County,0,0,0,0
INTipton County,0,0,0,0
INUnion County,0,0,0,0
INVanderburgh County,0,0,0,0
INVermillion County,0,0,0,0
INVigo County,0,0,0,0
INWabash County,0,0,0,0
INWarren County,0,0,0,0
INWarrick County,0,0,0,0
INWashington County,0,0,0,0
INWayne County,0,0,0,0
INWells County,0,0,0,0
INWhite County,0,0,0,0
INWhitley County,0,0,0,0
KSAllen County,0,0,0,0
KSAnderson County,0,0,0,0
KSAtchison County,0,0,0,0
KSBarber County,0,0,0,0
KSBarton County,0,0,0,0
KSBourbon County,0,0,0,0
KSBrown County,0,0,0,0
KSButler County,0,0,0,0
KSChase County,0,0,0,0
KSChautauqua County,0,0,0,0
KSCherokee County,0,0,0,0
KSCheyenne County,0,0,0,0
KSClark County,0,0,0,0
KSClay County,0,0,0,0
KSCloud County,0,0,0,0
KSCoffey County,0,0,0,0
KSComanche County,0,0,0,0
KSCowley County,0,0,0,0
KSCrawford County,0,0,0,0
KSDecatur County,0,0,0,0
KSDickinson County,0,0,0,0
KSDoniphan County,0,0,0,0
KSDouglas County,0,0,0,0
KSEdwards County,0,0,0,0
KSElk County,0,0,0,0
KSEllis County,0,0,0,0
KSEllsworth County,0,0,0,0
KSFinney County,0,0,0,0
KSFord County,0,0,0,0
KSFranklin County,0,0,0,0
KSGeary County,0,0,0,0
KSGove County,0,0,0,0
KSGraham County,0,0,0,0
KSGrant County,0,0,0,0
KSGray County,0,0,0,0
KSGreeley County,0,0,0,0
KSGreenwood County,0,0,0,0
KSHamilton County,0,0,0,0
KSHarper County,0,0,0,0
KSHarvey County,0,0,0,0
KSHaskell County,0,0,0,0
KSHodgeman County,0,0,0,0
KSJackson County,0,0,0,0
KSJefferson County,0,0,0,0
KSJewell County,0,0,0,0
KSJohnson County,0,0,0,0
KSKearny County,0,0,0,0
KSKingman County,0,0,0,0
KSKiowa County,0,0,0,0
KSLabette County,0,0,0,0
KSLane County,0,0,0,0
KSLeavenworth County,0,0,0,0
KSLincoln County,0,0,0,0
KSLinn County,0,0,0,0
KSLogan County,0,0,0,0
KSLyon County,0,0,0,0
KSMarion County,0,0,0,0
KSMarshall County,0,0,0,0
KSMcpherson County,0,0,0,0
KSMeade County,0,0,0,0
KSMiami County,0,0,0,0
KSMitchell County,0,0,0,0
KSMontgomery County,0,0,0,0
KSMorris County,0,0,0,0
KSMorton County,0,0,0,0
KSNemaha County,0,0,0,0
KSNeosho County,0,0,0,0
KSNess County,0,0,0,0
KSNorton County,0,0,0,0
KSOsage County,0,0,0,0
KSOsborne County,0,0,0,0
KSOttawa County,0,0,0,0
KSPawnee County,0,0,0,0
KSPhillips County,0,0,0,0
KSPottawatomie County,0,0,0,0
KSPratt County,0,0,0,0
KSRawlins County,0,0,0,0
KSReno County,0,0,0,0
KSRepublic County,0,0,0,0
KSRice County,0,0,0,0
KSRiley County,0,0,0,0
KSRooks County,0,0,0,0
KSRush County,0,0,0,0
KSRussell County,0,0,0,0
KSSaline County,0,0,0,0
KSScott County,0,0,0,0
KSSedgwick County,0,0,0,0
KSSeward County,0,0,0,0
KSShawnee County,0,0,0,0
KSSheridan County,0,0,0,0
KSSherman County,0,0,0,0
KSSmith County,0,0,0,0
KSStafford County,0,0,0,0
KSStanton County,0,0,0,0
KSStevens County,0,0,0,0
KSSumner County,0,0,0,0
KSThomas County,0,0,0,0
KSTrego County,0,0,0,0
KSWabaunsee County,0,0,0,0
KSWallace County,0,0,0,0
KSWashington County,0,0,0,0
KSWichita County,0,0,0,0
KSWilson County,0,0,0,0
KSWoodson County,0,0,0,0
KSWyandotte County,0,0,0,0
KYAdair County,0,0,0,0
KYAllen County,0,0,0,0
KYAnderson County,0,0,0,0
KYBallard County,0,0,0,0
KYBarren County,0,0,0,0
KYBath County,0,0,0,0
KYBell County,0,0,0,0
KYBoone County,0,0,0,0
KYBourbon County,0,0,0,0
KYBoyd County,0,0,0,0
KYBoyle County,0,0,0,0
KYBracken County,0,0,0,0
KYBreathitt County,0,0,0,0
KYBreckinridge County,0,0,0,0
KYBullitt County,0,0,0,0
KYButler County,0,0,0,0
KYCaldwell County,0,0,0,0
KYCalloway County,0,0,0,0
KYCampbell County,0,0,0,0
KYCarlisle County,0,0,0,0
KYCarroll County,0,0,0,0
KYCarter County,0,0,0,0
KYCasey County,0,0,0,0
KYChristian County,0,0,0,0
KYClark County,0,0,0,0
KYClay County,0,0,0,0
KYClinton County,0,0,0,0
KYCrittenden County,0,0,0,0
KYCumberland County,0,0,0,0
KYDaviess County,0,0,0,0
KYEdmonson County,0,0,0,0
KYElliott County,0,0,0,0
KYEstill County,0,0,0,0
KYFayette County,0,0,0,0
KYFleming County,0,0,0,0
KYFloyd County,0,0,0,0
KYFranklin County,0,0,0,0
KYFulton County,0,0,0,0
KYGallatin County,0,0,0,0
KYGarrard County,0,0,0,0
KYGrant County,0,0,0,0
KYGraves County,0,0,0,0
KYGrayson County,0,0,0,0
KYGreen County,0,0,0,0
KYGreenup County,0,0,0,0
KYHancock County,0,0,0,0
KYHardin County,0,0,0,0
KYHarlan County,0,0,0,0
KYHarrison County,0,0,0,0
KYHart County,0,0,0,0
KYHenderson County,0,0,0,0
KYHenry County,0,0,0,0
KYHickman County,0,0,0,0
KYHopkins County,0,0,0,0
KYJackson County,0,0,0,0
KYJefferson County,0,0,0,0
KYJessamine County,0,0,0,0
KYJohnson County,0,0,0,0
KYKenton County,0,0,0,0
KYKnott County,0,0,0,0
KYKnox County,0,0,0,0
KYLarue County,0,0,0,0
KYLaurel County,0,0,0,0
KYLawrence County,0,0,0,0
KYLee County,0,0,0,0
KYLeslie County,0,0,0,0
KYLetcher County,0,0,0,0
KYLewis County,0,0,0,0
KYLincoln County,0,0,0,0
KYLivingston County,0,0,0,0
KYLogan County,0,0,0,0
KYLyon County,0,0,0,0
KYMadison County,0,0,0,0
KYMagoffin County,0,0,0,0
KYMarion County,0,0,0,0
KYMarshall County,0,0,0,0
KYMartin County,0,0,0,0
KYMason County,0,0,0,0
KYMccracken County,0,0,0,0
KYMccreary County,0,0,0,0
KYMclean County,0,0,0,0
KYMeade County,0,0,0,0
KYMenifee County,0,0,0,0
KYMercer County,0,0,0,0
KYMetcalfe County,0,0,0,0
KYMonroe County,0,0,0,0
KYMontgomery County,0,0,0,0
KYMorgan County,0,0,0,0
KYMuhlenberg County,0,0,0,0
KYNelson County,0,0,0,0
KYNicholas County,0,0,0,0
KYOhio County,0,0,0,0
KYOldham County,0,0,0,0
KYOwen County,0,0,0,0
KYOwsley County,0,0,0,0
KYPendleton County,0,0,0,0
KYPerry County,0,0,0,0
KYPike County,0,0,0,0
KYPowell County,0,0,0,0
KYPulaski County,0,0,0,0
KYRobertson County,0,0,0,0
KYRockcastle County,0,0,0,0
KYRowan County,0,0,0,0
KYRussell County,0,0,0,0
KYScott County,0,0,0,0
KYShelby County,0,0,0,0
KYSimpson County,0,0,0,0
KYSpencer County,0,0,0,0
KYTaylor County,0,0,0,0
KYTodd County,0,0,0,0
KYTrigg County,0,0,0,0
KYTrimble County,0,0,0,0
KYUnion County,0,0,0,0
KYWarren County,0,0,0,0
KYWashington County,0,0,0,0
KYWayne County,0,0,0,0
KYWebster County,0,0,0,0
KYWhitley County,0,0,0,0
KYWolfe County,0,0,0,0
KYWoodford County,0,0,0,0
LAAcadia Parish,0,-0.026952519,0.275089985,-0.001306389
LAAllen Parish,0,-0.01262516,0.200030985,-6.58135E-08
LAAscension Parish,0,-0.024554116,0.273827884,-0.007554597
LAAssumption Parish,0,-0.027250169,0.289319197,-0.002092957
LAAvoyelles Parish,0,-0.011791537,0.202277206,2.22E-16
LABeauregard Parish,0,-0.013059074,0.192800611,-2.22E-16
LABienville Parish,0,-0.000329166,0.06758083,-2.22E-16
LABossier Parish,0,-0.000106328,0.074894695,0
LACaddo Parish,0,-1.29974E-05,0.068860648,6.66E-16
LACalcasieu Parish,0,-0.025843945,0.268114913,-0.01047578
LACaldwell Parish,0,-0.000516528,0.090231056,2.22E-16
LACameron Parish,0,-0.0238468,0.253300642,-0.0816343
LACatahoula Parish,0,-0.002085958,0.122965628,0
LAClaiborne Parish,0,-2.58444E-05,0.0583807,0
LAConcordia Parish,0,-0.003855832,0.143689945,-4.44E-16
LADe Soto Parish,0,-0.000714649,0.077459429,6.66E-16
LAEast Baton Rouge Parish,0,-0.019641246,0.241358151,-3.83969E-07
LAEast Carroll Parish,0,-0.002892794,0.132619882,2.22E-16
LAEast Feliciana Parish,0,-0.014813098,0.209727595,0
LAEvangeline Parish,0,-0.015666642,0.218432876,-1.48576E-07
LAFranklin Parish,0,-0.002847394,0.133102034,0
LAGrant Parish,0,-0.001195725,0.104104118,-2.22E-16
LAIberia Parish,0,-0.029675976,0.260915401,-0.047935616
LAIberville Parish,0,-0.025654681,0.269874111,-2.50887E-05
LAJackson Parish,0,-0.000376989,0.072655693,-3.33E-16
LAJefferson Davis Parish,0,-0.027154467,0.27712523,-0.011783233
LAJefferson Parish,0,-0.042401017,0.321381546,-0.014044241
LALa Salle Parish,0,-0.00045057,0.087239843,0
LALafayette Parish,0,-0.030890428,0.282811062,-0.000479822
LALafourche Parish,0,-0.056392588,0.366602824,-0.023505792
LALincoln Parish,0,-0.000303259,0.06426871,-1.11E-16
LALivingston Parish,0,-0.018601439,0.256560041,-0.017773413
LAMadison Parish,0,-0.003892461,0.132913239,4.44E-16
LAMorehouse Parish,0,-0.000579463,0.093497196,-3.33E-16
LANatchitoches Parish,0,-0.003886944,0.128848965,0
LAOrleans Parish,0,-0.035171183,0.300014208,-0.012382225
LAOuachita Parish,0,-0.000657865,0.090499223,-2.22E-16
LAPlaquemines Parish,0,-0.034949079,0.23991291,-0.035938094
LAPointe Coupee Parish,0,-0.019692883,0.237954451,0
LARapides Parish,0,-0.005150722,0.154000326,2.22E-16
LARed River Parish,0,-0.000499541,0.096266938,0
LARichland Parish,0,-0.001871666,0.118863103,0
LASabine Parish,0,-0.002914668,0.11548862,2.22E-16
LASt. Bernard Parish,0,-0.05663267,0.356109375,-0.018036221
LASt. Charles Parish,0,-0.029386462,0.293818506,-0.038020362
LASt. Helena Parish,0,-0.01542728,0.21729952,2.22E-16
LASt. James Parish,0,-0.03039921,0.299150707,-0.006249058
LASt. John The Baptist Parish,0,-0.033182967,0.313603136,-0.013738635
LASt. Landry Parish,0,-0.021702886,0.245239469,-2.58154E-09
LASt. Martin Parish,0,-0.033486437,0.290584884,-3.94775E-05
LASt. Mary Parish,0,-0.031906513,0.303685551,-0.040073576
LASt. Tammany Parish,0,-0.020630024,0.257473588,-0.058087043
LATangipahoa Parish,0,-0.022097436,0.253949573,-0.001359182
LATensas Parish,0,-0.00495696,0.14412863,4.44E-16
LATerrebonne Parish,0,-0.047882592,0.341184343,-0.040797693
LAUnion Parish,0,-2.62651E-05,0.061257626,-2.22E-16
LAVermilion Parish,0,-0.026470901,0.285780473,-0.058498902
LAVernon Parish,0,-0.005791524,0.143596332,0
LAWashington Parish,0,-0.0204004,0.232936003,4.44E-16
LAWebster Parish,0,-0.000111058,0.066891531,0
LAWest Baton Rouge Parish,0,-0.02393528,0.260261066,-2.926E-06
LAWest Carroll Parish,0,-0.001034479,0.116525472,2.22E-16
LAWest Feliciana Parish,0,-0.011392852,0.187877963,2.22E-16
LAWinn Parish,0,-0.00114967,0.089382476,0
MABarnstable County,0,-0.007312969,0.211537642,-0.009480383
MABerkshire County,0,6.66E-16,0.061165533,2.22E-16
MABristol County,0,-0.004073766,0.182567033,-0.020068912
MADukes County,0,-0.019053721,0.289485444,-0.003859271
MAEssex County,0,-0.003737231,0.160040519,-0.002593428
MAFranklin County,0,-2.22E-16,0.068331803,-2.22E-16
MAHampden County,0,-0.000167148,0.102087499,-2.22E-16
MAHampshire County,0,0,0.081633087,2.22E-16
MAMiddlesex County,0,-0.000668358,0.103148614,-0.000824306
MANantucket County,0,-0.031073711,0.282070091,-0.000246341
MANorfolk County,0,-0.000889529,0.120109192,-0.00288136
MAPlymouth County,0,-0.003260947,0.173951654,-0.025516048
MASuffolk County,0,-0.002443092,0.15996352,-0.035625488
MAWorcester County,0,-0.000444309,0.0924568,0
MDAllegany County,0,-1.11E-16,0.020079329,-2.22E-16
MDAnne Arundel County,0,-0.000614326,0.147889628,-0.050365528
MDBaltimore City,0,-8.58436E-05,0.085080125,-0.016442974
MDBaltimore County,0,-0.000375212,0.074077362,-0.007758502
MDCalvert County,0,-0.002064624,0.195946187,-0.0586594
MDCaroline County,0,-0.002408514,0.11083299,-0.00032497
MDCarroll County,0,-9.17809E-06,0.053602748,0
MDCecil County,0,-0.000631102,0.161344826,-0.074241076
MDCharles County,0,-0.000542043,0.139811732,-0.042634423
MDDorchester County,0,-0.004926032,0.231222591,-0.096532022
MDFrederick County,0,-5.21243E-05,0.047609074,0
MDGarrett County,0,-2.22E-16,0.019598815,0
MDHarford County,0,-0.000632103,0.106828029,-0.020240609
MDHoward County,0,-1.82158E-05,0.051469441,2.22E-16
MDKent County,0,-0.001899547,0.116212213,-0.008431254
MDMontgomery County,0,-4.355E-05,0.044192271,-2.22E-16
MDPrince George's County,0,-3.4529E-05,0.056029297,-0.005517209
MDQueen Anne's County,0,-0.00189884,0.152167178,-0.037340243
MDSomerset County,0,-0.010572127,0.222689103,-0.049557822
MDSt. Mary's County,0,-0.005512807,0.166301687,-0.021555381
MDTalbot County,0,-0.003599028,0.184686771,-0.050920092
MDWashington County,0,-5.79272E-05,0.039279757,0
MDWicomico County,0,-0.004879069,0.185234524,-0.031126463
MDWorcester County,0,-0.016379986,0.248827951,-0.037701287
MEAndroscoggin County,0,-5.49817E-05,0.069307357,4.44E-16
MEAroostook County,0,-4.1718E-06,0.042376795,-1.11E-16
MECumberland County,0,-0.003653956,0.171750029,-0.037696964
MEFranklin County,0,-2.22E-16,0.046534256,-3.33E-16
MEHancock County,0,-0.003186411,0.172197063,-0.014072592
MEKennebec County,0,-7.98319E-05,0.067216049,0
MEKnox County,0,-0.004860527,0.185570035,-0.009217612
MELincoln County,0,-0.005968004,0.190213051,-0.014547637
MEOxford County,0,2.22E-16,0.051127977,-2.22E-16
MEPenobscot County,0,-2.71719E-05,0.058109684,0
MEPiscataquis County,0,-1.05529E-05,0.047884025,0
MESagadahoc County,0,-0.002175496,0.148868361,-0.007560775
MESomerset County,0,-2.27469E-05,0.052844187,-2.22E-16
MEWaldo County,0,-0.001495843,0.122473669,-0.009704109
MEWashington County,0,-0.001590499,0.154694173,-0.030761313
MEYork County,0,-0.003225364,0.19161917,-0.062149257
MIAlcona County,0,0,0,0
MIAlger County,0,0,0,0
MIAllegan County,0,0,0,0
MIAlpena County,0,0,0,0
MIAntrim County,0,0,0,0
MIArenac County,0,0,0,0
MIBaraga County,0,0,0,0
MIBarry County,0,0,0,0
MIBay County,0,0,0,0
MIBenzie County,0,0,0,0
MIBerrien County,0,0,0,0
MIBranch County,0,0,0,0
MICalhoun County,0,0,0,0
MICass County,0,0,0,0
MICharlevoix County,0,0,0,0
MICheboygan County,0,0,0,0
MIChippewa County,0,0,0,0
MIClare County,0,0,0,0
MIClinton County,0,0,0,0
MICrawford County,0,0,0,0
MIDelta County,0,0,0,0
MIDickinson County,0,0,0,0
MIEaton County,0,0,0,0
MIEmmet County,0,0,0,0
MIGenesee County,0,0,0,0
MIGladwin County,0,0,0,0
MIGogebic County,0,0,0,0
MIGrand Traverse County,0,0,0,0
MIGratiot County,0,0,0,0
MIHillsdale County,0,0,0,0
MIHoughton County,0,0,0,0
MIHuron County,0,0,0,0
MIIngham County,0,0,0,0
MIIonia County,0,0,0,0
MIIosco County,0,0,0,0
MIIron County,0,0,0,0
MIIsabella County,0,0,0,0
MIJackson County,0,0,0,0
MIKalamazoo County,0,0,0,0
MIKalkaska County,0,0,0,0
MIKent County,0,0,0,0
MIKeweenaw County,0,0,0,0
MILake County,0,0,0,0
MILapeer County,0,0,0,0
MILeelanau County,0,0,0,0
MILenawee County,0,0,0,0
MILivingston County,0,0,0,0
MILuce County,0,0,0,0
MIMackinac County,0,0,0,0
MIMacomb County,0,0,0,0
MIManistee County,0,0,0,0
MIMarquette County,0,0,0,0
MIMason County,0,0,0,0
MIMecosta County,0,0,0,0
MIMenominee County,0,0,0,0
MIMidland County,0,0,0,0
MIMissaukee County,0,0,0,0
MIMonroe County,0,0,0,0
MIMontcalm County,0,0,0,0
MIMontmorency County,0,0,0,0
MIMuskegon County,0,0,0,0
MINewaygo County,0,0,0,0
MIOakland County,0,0,0,0
MIOceana County,0,0,0,0
MIOgemaw County,0,0,0,0
MIOntonagon County,0,0,0,0
MIOsceola County,0,0,0,0
MIOscoda County,0,0,0,0
MIOtsego County,0,0,0,0
MIOttawa County,0,0,0,0
MIPresque Isle County,0,0,0,0
MIRoscommon County,0,0,0,0
MISaginaw County,0,0,0,0
MISanilac County,0,0,0,0
MISchoolcraft County,0,0,0,0
MIShiawassee County,0,0,0,0
MISt. Clair County,0,0,0,0
MISt. Joseph County,0,0,0,0
MITuscola County,0,0,0,0
MIVan Buren County,0,0,0,0
MIWashtenaw County,0,0,0,0
MIWayne County,0,0,0,0
MIWexford County,0,0,0,0
MNAitkin County,0,0,0,0
MNAnoka County,0,0,0,0
MNBecker County,0,0,0,0
MNBeltrami County,0,0,0,0
MNBenton County,0,0,0,0
MNBig Stone County,0,0,0,0
MNBlue Earth County,0,0,0,0
MNBrown County,0,0,0,0
MNCarlton County,0,0,0,0
MNCarver County,0,0,0,0
MNCass County,0,0,0,0
MNChippewa County,0,0,0,0
MNChisago County,0,0,0,0
MNClay County,0,0,0,0
MNClearwater County,0,0,0,0
MNCook County,0,0,0,0
MNCottonwood County,0,0,0,0
MNCrow Wing County,0,0,0,0
MNDakota County,0,0,0,0
MNDodge County,0,0,0,0
MNDouglas County,0,0,0,0
MNFaribault County,0,0,0,0
MNFillmore County,0,0,0,0
MNFreeborn County,0,0,0,0
MNGoodhue County,0,0,0,0
MNGrant County,0,0,0,0
MNHennepin County,0,0,0,0
MNHouston County,0,0,0,0
MNHubbard County,0,0,0,0
MNIsanti County,0,0,0,0
MNItasca County,0,0,0,0
MNJackson County,0,0,0,0
MNKanabec County,0,0,0,0
MNKandiyohi County,0,0,0,0
MNKittson County,0,0,0,0
MNKoochiching County,0,0,0,0
MNLac Qui Parle County,0,0,0,0
MNLake County,0,0,0,0
MNLake Of The Woods County,0,0,0,0
MNLe Sueur County,0,0,0,0
MNLincoln County,0,0,0,0
MNLyon County,0,0,0,0
MNMahnomen County,0,0,0,0
MNMarshall County,0,0,0,0
MNMartin County,0,0,0,0
MNMcleod County,0,0,0,0
MNMeeker County,0,0,0,0
MNMille Lacs County,0,0,0,0
MNMorrison County,0,0,0,0
MNMower County,0,0,0,0
MNMurray County,0,0,0,0
MNNicollet County,0,0,0,0
MNNobles County,0,0,0,0
MNNorman County,0,0,0,0
MNOlmsted County,0,0,0,0
MNOtter Tail County,0,0,0,0
MNPennington County,0,0,0,0
MNPine County,0,0,0,0
MNPipestone County,0,0,0,0
MNPolk County,0,0,0,0
MNPope County,0,0,0,0
MNRamsey County,0,0,0,0
MNRed Lake County,0,0,0,0
MNRedwood County,0,0,0,0
MNRenville County,0,0,0,0
MNRice County,0,0,0,0
MNRock County,0,0,0,0
MNRoseau County,0,0,0,0
MNScott County,0,0,0,0
MNSherburne County,0,0,0,0
MNSibley County,0,0,0,0
MNSt. Louis County,0,0,0,0
MNStearns County,0,0,0,0
MNSteele County,0,0,0,0
MNStevens County,0,0,0,0
MNSwift County,0,0,0,0
MNTodd County,0,0,0,0
MNTraverse County,0,0,0,0
MNWabasha County,0,0,0,0
MNWadena County,0,0,0,0
MNWaseca County,0,0,0,0
MNWashington County,0,0,0,0
MNWatonwan County,0,0,0,0
MNWilkin County,0,0,0,0
MNWinona County,0,0,0,0
MNWright County,0,0,0,0
MNYellow Medicine County,0,0,0,0
MOAdair County,0,0,0,0
MOAndrew County,0,0,0,0
MOAtchison County,0,0,0,0
MOAudrain County,0,0,0,0
MOBarry County,0,0,0,0
MOBarton County,0,0,0,0
MOBates County,0,0,0,0
MOBenton County,0,0,0,0
MOBollinger County,0,0,0,0
MOBoone County,0,0,0,0
MOBuchanan County,0,0,0,0
MOButler County,0,0,0,0
MOCaldwell County,0,0,0,0
MOCallaway County,0,0,0,0
MOCamden County,0,0,0,0
MOCape Girardeau County,0,0,0,0
MOCarroll County,0,0,0,0
MOCarter County,0,0,0,0
MOCass County,0,0,0,0
MOCedar County,0,0,0,0
