StateCounty,Contents,BI
AKAleutians East Borough,0.000000000000000000,0.000000000000000000
AKAleutians West Census Area,0.000000000000000000,0.000000000000000000
AKAnchorage Municipality,0.000000000000000000,0.000000000000000000
AKBethel Census Area,0.000000000000000000,0.000000000000000000
AKBristol Bay Borough,0.000000000000000000,0.000000000000000000
AKDenali Borough,0.000000000000000000,0.000000000000000000
AKDillingham Census Area,0.000000000000000000,0.000000000000000000
AKFairbanks North Star Borough,0.000000000000000000,0.000000000000000000
AKHaines Borough,0.000000000000000000,0.000000000000000000
AKHoonah-Angoon Census Area,0.000000000000000000,0.000000000000000000
AKJuneau Borough,0.000000000000000000,0.000000000000000000
AKKenai Peninsula Borough,0.000000000000000000,0.000000000000000000
AKKetchikan Gateway Borough,0.000000000000000000,0.000000000000000000
AKKodiak Island Borough,0.000000000000000000,0.000000000000000000
AKKusilvak,0.000000000000000000,0.000000000000000000
AKMatanuska-Susitna Borough,0.000000000000000000,0.000000000000000000
AKNome Census Area,0.000000000000000000,0.000000000000000000
AKNorth Slope Borough,0.000000000000000000,0.000000000000000000
AKNorthwest Arctic Borough,0.000000000000000000,0.000000000000000000
AKPeninsula And Lake Borough,0.000000000000000000,0.000000000000000000
AKPetersburg Census Area,0.000000000000000000,0.000000000000000000
AKPrince Of Wales-Hyder Census Area,0.000000000000000000,0.000000000000000000
AKSitka Borough,0.000000000000000000,0.000000000000000000
AKSkagway Municipality,0.000000000000000000,0.000000000000000000
AKSoutheast Fairbanks Census Area,0.000000000000000000,0.000000000000000000
AKValdez-Cordova Census Area,0.000000000000000000,0.000000000000000000
AKWrangell City And Borough,0.000000000000000000,0.000000000000000000
AKYakutat Borough,0.000000000000000000,0.000000000000000000
AKYukon-Koyukuk Census Area,0.000000000000000000,0.000000000000000000
ALAutauga County,-0.735697745714843000,0.264696936732378000
ALBaldwin County,-0.442053142279366000,-0.189793963606410000
ALBarbour County,-0.679547785183824000,0.111190614412904000
ALBibb County,-0.748251032254829000,0.268916540445994000
ALBlount County,-0.784671678560975000,0.503964878389255000
ALBullock County,-0.714851250403340000,0.202900944809692000
ALButler County,-0.689855585585767000,0.129774479107370000
ALCalhoun County,-0.797605087377478000,0.574154571104346000
ALChambers County,-0.751090077100094000,0.339558574780585000
ALCherokee County,-0.777526925081234000,0.489396681853599000
ALChilton County,-0.750204637087008000,0.282450243617904000
ALChoctaw County,-0.690109043425471000,0.072475261464296100
ALClarke County,-0.651905425440860000,-0.031062534492433600
ALClay County,-0.779541140753887000,0.474066390029011000
ALCleburne County,-0.785840554515304000,0.514311664651891000
ALCoffee County,-0.652030225796586000,0.060725194134634500
ALColbert County,-0.761263453477815000,0.385110924524986000
ALConecuh County,-0.651223475198594000,0.006856817223064970
ALCoosa County,-0.772057910993388000,0.428193638973864000
ALCovington County,-0.618642413772361000,-0.018877040317791500
ALCrenshaw County,-0.704335149499111000,0.185287533014842000
ALCullman County,-0.775312590727457000,0.470749331378434000
ALDale County,-0.655960977674072000,0.068643281263012900
ALDallas County,-0.700084864887275000,0.105760865756954000
ALDekalb County,-0.782228976458904000,0.519523198198547000
ALElmore County,-0.738244198997228000,0.290608099164301000
ALEscambia County,-0.579182495314860000,-0.121039117162168000
ALEtowah County,-0.792193170156938000,0.556692782581451000
ALFayette County,-0.765596376645409000,0.426610219088175000
ALFranklin County,-0.769035470126896000,0.421594320276540000
ALGeneva County,-0.603975972743879000,-0.055904611999386100
ALGreene County,-0.726033098637237000,0.222512223254944000
ALHale County,-0.715443021779419000,0.167865006899916000
ALHenry County,-0.660457968305286000,0.083032655153653300
ALHouston County,-0.629120780622115000,0.015178699755408400
ALJackson County,-0.776195636060707000,0.494071396934666000
ALJefferson County,-0.777630339209350000,0.447168793234499000
ALLamar County,-0.758332067739922000,0.384613871663110000
ALLauderdale County,-0.761755760349743000,0.388323745022802000
ALLawrence County,-0.763397834111786000,0.419766783671102000
ALLee County,-0.740737711362591000,0.299259424372546000
ALLimestone County,-0.772530221395639000,0.454410610674570000
ALLowndes County,-0.712071453623762000,0.196475402418623000
ALMacon County,-0.734616547436106000,0.270404245372654000
ALMadison County,-0.786580690565324000,0.509443373285270000
ALMarengo County,-0.690862185776037000,0.068809797759476200
ALMarion County,-0.767927541420200000,0.420112879737313000
ALMarshall County,-0.777213905768198000,0.484826014088777000
ALMobile County,-0.447898181981135000,-0.223034352917889000
ALMonroe County,-0.650153833771067000,-0.004163280863242800
ALMontgomery County,-0.727018140691301000,0.255334591856800000
ALMorgan County,-0.772532448473152000,0.458723018193894000
ALPerry County,-0.686799974072898000,0.052151457551216300
ALPickens County,-0.743194642049118000,0.321004828481048000
ALPike County,-0.691950468440941000,0.148496904117589000
ALRandolph County,-0.767839236421473000,0.427497830890447000
ALRussell County,-0.725340933356495000,0.246745685986965000
ALShelby County,-0.763646840217849000,0.353599130250779000
ALSt. Clair County,-0.786513279332661000,0.509417178209878000
ALSumter County,-0.708758436751932000,0.156828534802776000
ALTalladega County,-0.780414239330393000,0.463285663463508000
ALTallapoosa County,-0.754490992269503000,0.358588304512642000
ALTuscaloosa County,-0.754144183987123000,0.353020155860375000
ALWalker County,-0.774356880334811000,0.471396996736476000
ALWashington County,-0.629091922523562000,-0.093346039672642700
ALWilcox County,-0.688537712282204000,0.076623188731808500
ALWinston County,-0.769412227366270000,0.449630464441331000
ARArkansas County,0.000000000000000000,0.000000000000000000
ARAshley County,0.000000000000000000,0.000000000000000000
ARBaxter County,0.000000000000000000,0.000000000000000000
ARBenton County,0.000000000000000000,0.000000000000000000
ARBoone County,0.000000000000000000,0.000000000000000000
ARBradley County,0.000000000000000000,0.000000000000000000
ARCalhoun County,0.000000000000000000,0.000000000000000000
ARCarroll County,0.000000000000000000,0.000000000000000000
ARChicot County,0.000000000000000000,0.000000000000000000
ARClark County,0.000000000000000000,0.000000000000000000
ARClay County,0.000000000000000000,0.000000000000000000
ARCleburne County,0.000000000000000000,0.000000000000000000
ARCleveland County,0.000000000000000000,0.000000000000000000
ARColumbia County,0.000000000000000000,0.000000000000000000
ARConway County,0.000000000000000000,0.000000000000000000
ARCraighead County,0.000000000000000000,0.000000000000000000
ARCrawford County,0.000000000000000000,0.000000000000000000
ARCrittenden County,0.000000000000000000,0.000000000000000000
ARCross County,0.000000000000000000,0.000000000000000000
ARDallas County,0.000000000000000000,0.000000000000000000
ARDesha County,0.000000000000000000,0.000000000000000000
ARDrew County,0.000000000000000000,0.000000000000000000
ARFaulkner County,0.000000000000000000,0.000000000000000000
ARFranklin County,0.000000000000000000,0.000000000000000000
ARFulton County,0.000000000000000000,0.000000000000000000
ARGarland County,0.000000000000000000,0.000000000000000000
ARGrant County,0.000000000000000000,0.000000000000000000
ARGreene County,0.000000000000000000,0.000000000000000000
ARHempstead County,0.000000000000000000,0.000000000000000000
ARHot Spring County,0.000000000000000000,0.000000000000000000
ARHoward County,0.000000000000000000,0.000000000000000000
ARIndependence County,0.000000000000000000,0.000000000000000000
ARIzard County,0.000000000000000000,0.000000000000000000
ARJackson County,0.000000000000000000,0.000000000000000000
ARJefferson County,0.000000000000000000,0.000000000000000000
ARJohnson County,0.000000000000000000,0.000000000000000000
ARLafayette County,0.000000000000000000,0.000000000000000000
ARLawrence County,0.000000000000000000,0.000000000000000000
ARLee County,0.000000000000000000,0.000000000000000000
ARLincoln County,0.000000000000000000,0.000000000000000000
ARLittle River County,0.000000000000000000,0.000000000000000000
ARLogan County,0.000000000000000000,0.000000000000000000
ARLonoke County,0.000000000000000000,0.000000000000000000
ARMadison County,0.000000000000000000,0.000000000000000000
ARMarion County,0.000000000000000000,0.000000000000000000
ARMiller County,0.000000000000000000,0.000000000000000000
ARMississippi County,0.000000000000000000,0.000000000000000000
ARMonroe County,0.000000000000000000,0.000000000000000000
ARMontgomery County,0.000000000000000000,0.000000000000000000
ARNevada County,0.000000000000000000,0.000000000000000000
ARNewton County,0.000000000000000000,0.000000000000000000
AROuachita County,0.000000000000000000,0.000000000000000000
ARPerry County,0.000000000000000000,0.000000000000000000
ARPhillips County,0.000000000000000000,0.000000000000000000
ARPike County,0.000000000000000000,0.000000000000000000
ARPoinsett County,0.000000000000000000,0.000000000000000000
ARPolk County,0.000000000000000000,0.000000000000000000
ARPope County,0.000000000000000000,0.000000000000000000
ARPrairie County,0.000000000000000000,0.000000000000000000
ARPulaski County,0.000000000000000000,0.000000000000000000
ARRandolph County,0.000000000000000000,0.000000000000000000
ARSaline County,0.000000000000000000,0.000000000000000000
ARScott County,0.000000000000000000,0.000000000000000000
ARSearcy County,0.000000000000000000,0.000000000000000000
ARSebastian County,0.000000000000000000,0.000000000000000000
ARSevier County,0.000000000000000000,0.000000000000000000
ARSharp County,0.000000000000000000,0.000000000000000000
ARSt. Francis County,0.000000000000000000,0.000000000000000000
ARStone County,0.000000000000000000,0.000000000000000000
ARUnion County,0.000000000000000000,0.000000000000000000
ARVan Buren County,0.000000000000000000,0.000000000000000000
ARWashington County,0.000000000000000000,0.000000000000000000
ARWhite County,0.000000000000000000,0.000000000000000000
ARWoodruff County,0.000000000000000000,0.000000000000000000
ARYell County,0.000000000000000000,0.000000000000000000
AZApache County,0.000000000000000000,0.000000000000000000
AZCochise County,0.000000000000000000,0.000000000000000000
AZCoconino County,0.000000000000000000,0.000000000000000000
AZGila County,0.000000000000000000,0.000000000000000000
AZGraham County,0.000000000000000000,0.000000000000000000
AZGreenlee County,0.000000000000000000,0.000000000000000000
AZLa Paz County,0.000000000000000000,0.000000000000000000
AZMaricopa County,0.000000000000000000,0.000000000000000000
AZMohave County,0.000000000000000000,0.000000000000000000
AZNavajo County,0.000000000000000000,0.000000000000000000
AZPima County,0.000000000000000000,0.000000000000000000
AZPinal County,0.000000000000000000,0.000000000000000000
AZSanta Cruz County,0.000000000000000000,0.000000000000000000
AZYavapai County,0.000000000000000000,0.000000000000000000
AZYuma County,0.000000000000000000,0.000000000000000000
CAAlameda County,0.000000000000000000,0.000000000000000000
