StateCounty,1,2,3,4,5,6
AKAleutians East Borough,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
AKAleutians West Census Area,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
AKAnchorage Municipality,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
AKBethel Census Area,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
AKBristol Bay Borough,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
AKDenali Borough,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
AKDillingham Census Area,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
AKFairbanks North Star Borough,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
AKHaines Borough,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
AKHoonah-Angoon Census Area,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
AKJuneau Borough,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
AKKenai Peninsula Borough,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
AKKetchikan Gateway Borough,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
AKKodiak Island Borough,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
AKKusilvak,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
AKMatanuska-Susitna Borough,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
AKNome Census Area,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
AKNorth Slope Borough,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
AKNorthwest Arctic Borough,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
AKPeninsula And Lake Borough,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
AKPetersburg Census Area,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
AKPrince Of Wales-Hyder Census Area,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
AKSitka Borough,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
AKSkagway Municipality,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
AKSoutheast Fairbanks Census Area,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
AKValdez-Cordova Census Area,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
AKWrangell City And Borough,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
AKYakutat Borough,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
AKYukon-Koyukuk Census Area,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
ALAutauga County,0.000000000000000,-0.111866574031375,0.007475704904250,-0.111866574031375,0.194861047494459,-0.422614170423646
ALBaldwin County,0.000000000000000,-0.185213532231158,0.035973978066376,-0.185213532231158,0.125929985805480,-0.464678263229874
ALBarbour County,0.000000000000000,-0.115553223202527,0.009636728019951,-0.115553223202527,0.188656334656762,-0.425002039408028
ALBibb County,0.000000000000000,-0.110866449173725,0.007016765090157,-0.110866449173725,0.196787850645056,-0.421959357657239
ALBlount County,0.000000000000000,-0.110302769427937,0.005931040753708,-0.110302769427937,0.197271992077068,-0.421626955720017
ALBullock County,0.000000000000000,-0.112592440348585,0.008156490942836,-0.112592440348585,0.192920644033074,-0.423084583041154
ALButler County,0.000000000000000,-0.116827419486473,0.009701590805351,-0.116827419486473,0.187895526768096,-0.425809786972746
ALCalhoun County,0.000000000000000,-0.109503800519066,0.005157757660931,-0.109503800519066,0.199561481578709,-0.421107745417263
ALChambers County,0.000000000000000,-0.110565708977345,0.006615846573169,-0.110565708977345,0.197103635208308,-0.421774125000972
ALCherokee County,0.000000000000000,-0.109750336017110,0.005614427059178,-0.109750336017109,0.198992822515609,-0.421252626654623
ALChilton County,0.000000000000000,-0.110334237654848,0.006653933942599,-0.110334237654847,0.197552710542653,-0.421615477199910
ALChoctaw County,0.000000000000000,-0.119307408303265,0.010608240830735,-0.119307408303265,0.186074029863669,-0.427420022880508
ALClarke County,0.000000000000000,-0.120063263334991,0.012385000864448,-0.120063263334992,0.179902471281787,-0.427900085880348
ALClay County,0.000000000000000,-0.109744555281032,0.005664359503206,-0.109744555281032,0.199066868624775,-0.421250132425824
ALCleburne County,0.000000000000000,-0.109617734184244,0.005407299218940,-0.109617734184244,0.199421037767651,-0.421172258441914
ALCoffee County,0.000000000000000,-0.121198093960676,0.011448780286575,-0.121198093960676,0.182744750621061,-0.428598710395861
ALColbert County,0.000000000000000,-0.111450162758631,0.007219776103711,-0.111450162758631,0.194141870473980,-0.422371030967473
ALConecuh County,0.000000000000000,-0.121868656845046,0.011841436983928,-0.121868656845046,0.181023798340197,-0.428978542570698
ALCoosa County,0.000000000000000,-0.110022836142516,0.005997302462119,-0.110022836142516,0.198309672641810,-0.421429730652025
ALCovington County,0.000000000000000,-0.126080660787473,0.013457686278539,-0.126080660787472,0.176282866991883,-0.431636007074176
ALCrenshaw County,0.000000000000000,-0.114362458671355,0.008870754284359,-0.114362458671355,0.190373302725234,-0.424225460725563
ALCullman County,0.000000000000000,-0.111066849506712,0.006567250029648,-0.111066849506712,0.195713617419109,-0.422125069664825
ALDale County,0.000000000000000,-0.119746990034631,0.010981759344058,-0.119746990034631,0.184414426749361,-0.427693161387838
ALDallas County,0.000000000000000,-0.114208196322883,0.009189469334824,-0.114208196322883,0.189933281801336,-0.424135454644932
