Country,Statecode,County,StateCounty,TN Buildings,TN Contents,TN BI
US,AL,Clay County,ALClay County,0.000243437,0.000207957,0.000231835
US,AL,Cleburne County,ALCleburne County,0.000159253,0.00013709,0.000153001
US,AL,Coffee County,ALCoffee County,9.43621E-05,7.97177E-05,8.9579E-05
US,AL,Colbert County,ALColbert County,0.000275953,0.000225009,0.000255758
US,AL,Conecuh County,ALConecuh County,7.45282E-05,6.06582E-05,6.84428E-05
US,AL,Coosa County,ALCoosa County,0.000270858,0.000230995,0.000258075
US,AL,Covington County,ALCovington County,7.27271E-05,6.0732E-05,6.84666E-05
US,AL,Crenshaw County,ALCrenshaw County,0.000109045,9.42063E-05,0.000105455
US,AL,Cullman County,ALCullman County,0.000497049,0.000401409,0.000456405
US,AL,Dale County,ALDale County,9.99646E-05,8.43731E-05,9.46361E-05
US,AL,Dallas County,ALDallas County,0.000208739,0.000175555,0.000196474
US,AL,Dekalb County,ALDekalb County,0.000139214,0.000115453,0.00012985
US,AL,Elmore County,ALElmore County,0.000159547,0.000134898,0.000150052
US,AL,Escambia County,ALEscambia County,5.23365E-05,4.20579E-05,4.75576E-05
US,AL,Etowah County,ALEtowah County,0.000290661,0.000242905,0.000272822
US,AL,Fayette County,ALFayette County,0.000534559,0.000451682,0.000511028
US,AL,Franklin County,ALFranklin County,0.000259798,0.00021791,0.000245782
US,AL,Geneva County,ALGeneva County,9.02227E-05,7.56999E-05,8.50484E-05
US,AL,Greene County,ALGreene County,0.000462243,0.000390752,0.000437277
US,AL,Hale County,ALHale County,0.000404599,0.00034054,0.000381337
US,AL,Henry County,ALHenry County,0.000119917,0.000102616,0.000115182
US,AL,Houston County,ALHouston County,0.000108206,9.10142E-05,0.00010244
US,AL,Jackson County,ALJackson County,0.000119128,9.65125E-05,0.000109097
US,AL,Jefferson County,ALJefferson County,0.000488775,0.000413745,0.000473866
US,AL,Lamar County,ALLamar County,0.000312362,0.000268514,0.00030164
US,AL,Lauderdale County,ALLauderdale County,0.000290382,0.000233935,0.000266264
US,AL,Lawrence County,ALLawrence County,0.000416283,0.000334645,0.000381377
US,AL,Lee County,ALLee County,0.000164899,0.000141007,0.000157239
US,AL,Limestone County,ALLimestone County,0.000271277,0.000208791,0.000237346
US,AL,Lowndes County,ALLowndes County,0.000133513,0.000113538,0.000127031
US,AL,Macon County,ALMacon County,0.000147104,0.000126897,0.000141714
US,AL,Madison County,ALMadison County,0.000242925,0.000200572,0.000222822
US,AL,Marengo County,ALMarengo County,0.000292973,0.000246669,0.000275157
US,AL,Marion County,ALMarion County,0.000339755,0.00028554,0.000322385
US,AL,Marshall County,ALMarshall County,0.000300184,0.000246349,0.000277646
US,AL,Mobile County,ALMobile County,4.40139E-05,3.59449E-05,4.03603E-05
US,AL,Monroe County,ALMonroe County,7.90218E-05,6.58731E-05,7.38163E-05
US,AL,Montgomery County,ALMontgomery County,0.000126227,0.000108767,0.000120052
US,AL,Morgan County,ALMorgan County,0.000366626,0.000293429,0.000332215
US,AL,Perry County,ALPerry County,0.000309976,0.000257692,0.000287917
US,AL,Pickens County,ALPickens County,0.000455809,0.000387455,0.000434327
US,AL,Pike County,ALPike County,0.000135271,0.000116199,0.000129931
US,AL,Randolph County,ALRandolph County,0.000166319,0.000143359,0.000159677
US,AL,Russell County,ALRussell County,0.000136476,0.000118233,0.000131858
US,AL,Shelby County,ALShelby County,0.000572855,0.000477589,0.000546629
US,AL,St. Clair County,ALSt. Clair County,0.000401828,0.000339646,0.000380571
US,AL,Sumter County,ALSumter County,0.000403882,0.000344674,0.000385563
US,AL,Talladega County,ALTalladega County,0.000328845,0.000279663,0.000313239
US,AL,Tallapoosa County,ALTallapoosa County,0.000191151,0.000162572,0.000181819
US,AL,Tuscaloosa County,ALTuscaloosa County,0.000601193,0.000509334,0.000573157
US,AL,Walker County,ALWalker County,0.000542514,0.0004572,0.000517625
US,AL,Washington County,ALWashington County,9.22389E-05,7.60609E-05,8.62816E-05
US,AL,Wilcox County,ALWilcox County,0.000122307,0.000103002,0.000115124
US,AL,Winston County,ALWinston County,0.000468394,0.000389467,0.000441627
US,AR,Arkansas County,ARArkansas County,0.000454371,0.000381648,0.00043005
US,AR,Ashley County,ARAshley County,0.00046295,0.000386055,0.000436371
US,AR,Baxter County,ARBaxter County,0.00080244,0.000668151,0.000752211
US,AR,Benton County,ARBenton County,0.000337234,0.000265547,0.000301
US,AR,Boone County,ARBoone County,0.000357797,0.000296017,0.00033409
US,AR,Bradley County,ARBradley County,0.00058751,0.000481428,0.000543922
US,AR,Calhoun County,ARCalhoun County,0.000699327,0.000583918,0.0006579
US,AR,Carroll County,ARCarroll County,0.000220916,0.000180126,0.000204348
US,AR,Chicot County,ARChicot County,0.000431437,0.000358174,0.000403907
US,AR,Clark County,ARClark County,0.00082321,0.000662325,0.000745542
US,AR,Clay County,ARClay County,0.000606819,0.000501154,0.000566412
US,AR,Cleburne County,ARCleburne County,0.001168045,0.000975897,0.001099298
US,AR,Cleveland County,ARCleveland County,0.000865317,0.000722514,0.000814056
US,AR,Columbia County,ARColumbia County,0.000566305,0.000435289,0.000492819
US,AR,Conway County,ARConway County,0.000728767,0.00060155,0.000681086
US,AR,Craighead County,ARCraighead County,0.000574608,0.000480383,0.000543247
US,AR,Crawford County,ARCrawford County,0.000194582,0.000157925,0.000178467
US,AR,Crittenden County,ARCrittenden County,0.000367901,0.0003092,0.000351724
US,AR,Cross County,ARCross County,0.000479447,0.000401545,0.000452513
US,AR,Dallas County,ARDallas County,0.000683914,0.00056685,0.00063877
US,AR,Desha County,ARDesha County,0.000426631,0.000360338,0.000404632
US,AR,Drew County,ARDrew County,0.00053206,0.000449088,0.000505395
US,AR,Faulkner County,ARFaulkner County,0.000968678,0.000789612,0.000889832
US,AR,Franklin County,ARFranklin County,0.000196273,0.000158813,0.000180013
US,AR,Fulton County,ARFulton County,0.000848591,0.000711407,0.000799809
US,AR,Garland County,ARGarland County,0.000669772,0.000537624,0.000607287
US,AR,Grant County,ARGrant County,0.000868174,0.000722835,0.000811545
US,AR,Greene County,ARGreene County,0.000539897,0.000446536,0.000504157
US,AR,Hempstead County,ARHempstead County,0.000552474,0.000406944,0.000459033
US,AR,Hot Spring County,ARHot Spring County,0.000790841,0.000653986,0.000733783
US,AR,Howard County,ARHoward County,0.000442038,0.000335032,0.000378418
US,AR,Independence County,ARIndependence County,0.00096765,0.000819382,0.000920462
US,AR,Izard County,ARIzard County,0.001126859,0.000945827,0.001063567
US,AR,Jackson County,ARJackson County,0.000809276,0.0006835,0.000768082
US,AR,Jefferson County,ARJefferson County,0.000642068,0.000534223,0.000600564
US,AR,Johnson County,ARJohnson County,0.00034523,0.000282417,0.000319632
US,AR,Lafayette County,ARLafayette County,0.000423818,0.000321968,0.000366621
US,AR,Lawrence County,ARLawrence County,0.000729198,0.000609872,0.000685362
US,AR,Lee County,ARLee County,0.000626793,0.000521131,0.000587603
US,AR,Lincoln County,ARLincoln County,0.000554099,0.000464165,0.000523133
US,AR,Little River County,ARLittle River County,0.000284458,0.000204931,0.00023399
US,AR,Logan County,ARLogan County,0.000310359,0.000251572,0.000285009
US,AR,Lonoke County,ARLonoke County,0.000823401,0.000670893,0.000755221
US,AR,Madison County,ARMadison County,0.000182867,0.000149933,0.000170011
US,AR,Marion County,ARMarion County,0.000568229,0.000467436,0.000524672
US,AR,Miller County,ARMiller County,0.0003665,0.000271706,0.000311351
US,AR,Mississippi County,ARMississippi County,0.000414353,0.000336022,0.000381148
US,AR,Monroe County,ARMonroe County,0.000590857,0.000496986,0.000559937
US,AR,Montgomery County,ARMontgomery County,0.000504999,0.000405346,0.000458273
US,AR,Nevada County,ARNevada County,0.000702128,0.000561497,0.000635226
US,AR,Newton County,ARNewton County,0.000325727,0.000271017,0.00030583
US,AR,Ouachita County,AROuachita County,0.00072337,0.000579641,0.000655595
US,AR,Perry County,ARPerry County,0.000766639,0.000628842,0.000711259
US,AR,Phillips County,ARPhillips County,0.000482266,0.000403765,0.000454677
US,AR,Pike County,ARPike County,0.000567745,0.00045254,0.000510178
US,AR,Poinsett County,ARPoinsett County,0.000597999,0.000498313,0.000563739
US,AR,Polk County,ARPolk County,0.000434652,0.000337513,0.000383208
US,AR,Pope County,ARPope County,0.000540618,0.000442152,0.000500807
US,AR,Prairie County,ARPrairie County,0.00074849,0.000623905,0.000702948
US,AR,Pulaski County,ARPulaski County,0.000808052,0.000686025,0.000770276
US,AR,Randolph County,ARRandolph County,0.000582903,0.000483377,0.000543828
US,AR,Saline County,ARSaline County,0.000889057,0.000740942,0.000834923
US,AR,Scott County,ARScott County,0.000448064,0.000355056,0.000403122
US,AR,Searcy County,ARSearcy County,0.000686911,0.000572407,0.000644827
US,AR,Sebastian County,ARSebastian County,0.000281649,0.000226899,0.000257478
US,AR,Sevier County,ARSevier County,0.000340207,0.000251431,0.000286834
US,AR,Sharp County,ARSharp County,0.000692138,0.000579411,0.000650885
US,AR,St. Francis County,ARSt. Francis County,0.000542418,0.000451654,0.0005094
US,AR,Stone County,ARStone County,0.001203884,0.001009717,0.001138555
US,AR,Union County,ARUnion County,0.000562002,0.000446865,0.00050474
US,AR,Van Buren County,ARVan Buren County,0.001003872,0.00083403,0.000941142
US,AR,Washington County,ARWashington County,0.00025219,0.000202531,0.000228993
US,AR,White County,ARWhite County,0.001054773,0.000879055,0.000988711
US,AR,Woodruff County,ARWoodruff County,0.000754795,0.000638692,0.000719736
US,AR,Yell County,ARYell County,0.000482693,0.000389361,0.000441327
US,AZ,Apache County,AZApache County,4.07057E-06,1.40813E-06,1.7365E-06
US,AZ,Cochise County,AZCochise County,9.88853E-06,4.02929E-06,2.8816E-06
US,AZ,Coconino County,AZCoconino County,4.89614E-06,2.06905E-06,2.59389E-06
US,AZ,Gila County,AZGila County,1.19216E-05,3.02655E-06,3.59571E-06
US,AZ,Graham County,AZGraham County,8.77103E-06,2.51055E-06,2.80903E-06
US,AZ,Greenlee County,AZGreenlee County,4.30455E-06,1.39077E-06,1.84673E-06
US,AZ,La Paz County,AZLa Paz County,2.72243E-05,7.04947E-06,9.02978E-06
US,AZ,Maricopa County,AZMaricopa County,2.32362E-05,0.000005954,7.66705E-06
US,AZ,Mohave County,AZMohave County,9.44809E-06,3.72155E-06,4.55324E-06
US,AZ,Navajo County,AZNavajo County,4.68117E-06,1.58322E-06,2.04079E-06
US,AZ,Pima County,AZPima County,0.000019754,7.45442E-06,5.84683E-06
US,AZ,Pinal County,AZPinal County,1.65364E-05,4.37044E-06,5.43997E-06
US,AZ,Santa Cruz County,AZSanta Cruz County,1.71436E-05,6.65801E-06,4.67983E-06
US,AZ,Yavapai County,AZYavapai County,1.67992E-05,5.14831E-06,6.58665E-06
US,AZ,Yuma County,AZYuma County,2.96668E-05,1.09437E-05,1.14803E-05
US,CA,Alameda County,CAAlameda County,4.40244E-06,3.87087E-06,4.30574E-06
US,CA,Alpine County,CAAlpine County,6.88067E-06,5.85529E-06,6.58528E-06
US,CA,Amador County,CAAmador County,4.84852E-06,3.30915E-06,4.05708E-06
US,CA,Butte County,CAButte County,5.26985E-06,4.71166E-06,5.36234E-06
US,CA,Calaveras County,CACalaveras County,5.46055E-06,3.9357E-06,4.70376E-06
US,CA,Colusa County,CAColusa County,4.34295E-06,3.88906E-06,4.41581E-06
US,CA,Contra Costa County,CAContra Costa County,2.90089E-06,2.55915E-06,2.86032E-06
US,CA,Del Norte County,CADel Norte County,1.88466E-06,1.44781E-06,1.61164E-06
US,CA,El Dorado County,CAEl Dorado County,4.66757E-06,4.08275E-06,4.64278E-06
US,CA,Fresno County,CAFresno County,1.41654E-05,6.95205E-06,9.62857E-06
US,CA,Glenn County,CAGlenn County,4.95873E-06,4.4533E-06,5.06326E-06
US,CA,Humboldt County,CAHumboldt County,2.75224E-06,2.23774E-06,2.52863E-06
US,CA,Imperial County,CAImperial County,2.22005E-05,1.77778E-05,2.03898E-05
US,CA,Inyo County,CAInyo County,1.08421E-05,8.81982E-06,1.03144E-05
US,CA,Kern County,CAKern County,9.75264E-06,8.44265E-06,9.59088E-06
US,CA,Kings County,CAKings County,8.85379E-06,7.77362E-06,0.000008731
US,CA,Lake County,CALake County,3.83237E-06,3.48534E-06,3.78564E-06
US,CA,Lassen County,CALassen County,4.9962E-06,4.08618E-06,4.69648E-06
US,CA,Los Angeles County,CALos Angeles County,1.17122E-05,0.00001048,1.17112E-05
US,CA,Madera County,CAMadera County,0.000014868,1.00476E-05,1.23553E-05
US,CA,Marin County,CAMarin County,2.42291E-06,2.2251E-06,2.40777E-06
US,CA,Mariposa County,CAMariposa County,1.28203E-05,1.02707E-05,1.18808E-05
US,CA,Mendocino County,CAMendocino County,3.69009E-06,3.27461E-06,3.65315E-06
US,CA,Merced County,CAMerced County,1.14596E-05,7.63997E-06,9.25368E-06
US,CA,Modoc County,CAModoc County,3.17891E-06,1.68949E-06,1.93785E-06
US,CA,Mono County,CAMono County,9.48027E-06,7.84002E-06,8.72013E-06
US,CA,Monterey County,CAMonterey County,8.24095E-06,7.34589E-06,8.21748E-06
US,CA,Napa County,CANapa County,2.95196E-06,2.69349E-06,2.96348E-06
US,CA,Nevada County,CANevada County,5.65782E-06,5.12734E-06,5.71107E-06
US,CA,Orange County,CAOrange County,1.10804E-05,9.29037E-06,1.06524E-05
US,CA,Placer County,CAPlacer County,4.7696E-06,4.23485E-06,4.78269E-06
US,CA,Plumas County,CAPlumas County,5.14335E-06,4.52796E-06,5.02489E-06
US,CA,Riverside County,CARiverside County,1.84665E-05,1.58702E-05,1.77561E-05
US,CA,Sacramento County,CASacramento County,4.1403E-06,3.52053E-06,4.0437E-06
US,CA,San Benito County,CASan Benito County,7.18763E-06,6.3219E-06,7.10473E-06
US,CA,San Bernardino County,CASan Bernardino County,1.52741E-05,1.22505E-05,1.34194E-05
US,CA,San Diego County,CASan Diego County,1.39038E-05,1.10357E-05,1.32283E-05
US,CA,San Francisco County,CASan Francisco County,2.49967E-06,2.19732E-06,2.43416E-06
US,CA,San Joaquin County,CASan Joaquin County,4.09618E-06,3.39357E-06,3.90719E-06
US,CA,San Luis Obispo County,CASan Luis Obispo County,7.42116E-06,6.47442E-06,7.34709E-06
US,CA,San Mateo County,CASan Mateo County,4.12744E-06,3.64372E-06,4.01352E-06
US,CA,Santa Barbara County,CASanta Barbara County,9.1251E-06,7.91852E-06,9.06197E-06
US,CA,Santa Clara County,CASanta Clara County,4.44309E-06,3.97372E-06,4.36709E-06
US,CA,Santa Cruz County,CASanta Cruz County,4.32818E-06,3.85779E-06,4.25037E-06
US,CA,Shasta County,CAShasta County,3.91056E-06,3.38526E-06,3.87478E-06
US,CA,Sierra County,CASierra County,5.72595E-06,5.10411E-06,5.65946E-06
US,CA,Siskiyou County,CASiskiyou County,2.55511E-06,2.14867E-06,2.53161E-06
US,CA,Solano County,CASolano County,2.86552E-06,2.5915E-06,2.88337E-06
US,CA,Sonoma County,CASonoma County,2.32157E-06,2.12932E-06,2.34144E-06
US,CA,Stanislaus County,CAStanislaus County,5.54128E-06,4.98359E-06,5.56793E-06
US,CA,Sutter County,CASutter County,5.06365E-06,4.53401E-06,5.08057E-06
US,CA,Tehama County,CATehama County,4.64483E-06,4.10566E-06,4.73577E-06
US,CA,Trinity County,CATrinity County,3.42165E-06,2.89759E-06,3.35892E-06
US,CA,Tulare County,CATulare County,1.02752E-05,8.85991E-06,1.00542E-05
US,CA,Tuolumne County,CATuolumne County,8.56737E-06,7.63316E-06,8.54317E-06
US,CA,Ventura County,CAVentura County,1.07678E-05,9.45989E-06,1.05986E-05
US,CA,Yolo County,CAYolo County,3.94334E-06,3.58918E-06,3.96898E-06
US,CA,Yuba County,CAYuba County,5.60515E-06,5.06536E-06,5.64235E-06
US,CO,Adams County,COAdams County,3.80372E-05,1.42469E-05,1.63686E-05
US,CO,Alamosa County,COAlamosa County,3.97204E-06,1.33131E-06,1.70994E-06
US,CO,Arapahoe County,COArapahoe County,3.08085E-05,1.09243E-05,1.28882E-05
US,CO,Archuleta County,COArchuleta County,3.9776E-06,9.94969E-07,1.54085E-06
US,CO,Baca County,COBaca County,0.000112939,0.00005997,6.88835E-05
US,CO,Bent County,COBent County,9.67216E-05,0.000038078,0.000045086
US,CO,Boulder County,COBoulder County,1.00339E-05,3.81401E-06,4.44939E-06
US,CO,Broomfield County,COBroomfield County,1.40008E-05,5.09806E-06,5.62877E-06
US,CO,Chaffee County,COChaffee County,1.8775E-06,6.68879E-07,8.98007E-07
US,CO,Cheyenne County,COCheyenne County,0.0001578,8.24669E-05,9.74401E-05
US,CO,Clear Creek County,COClear Creek County,4.69922E-06,1.87057E-06,2.27967E-06
US,CO,Conejos County,COConejos County,4.28083E-06,1.38932E-06,1.78166E-06
US,CO,Costilla County,COCostilla County,5.96313E-06,2.00515E-06,2.4744E-06
US,CO,Crowley County,COCrowley County,4.05654E-05,1.53073E-05,1.95904E-05
US,CO,Custer County,COCuster County,4.61272E-06,1.87784E-06,2.42253E-06
US,CO,Delta County,CODelta County,2.03303E-06,5.94423E-07,9.00228E-07
US,CO,Denver County,CODenver County,1.50259E-05,6.09479E-06,7.26055E-06
US,CO,Dolores County,CODolores County,4.09094E-06,8.61515E-07,1.58068E-06
US,CO,Douglas County,CODouglas County,1.21298E-05,4.47529E-06,5.34579E-06
US,CO,Eagle County,COEagle County,2.67016E-06,1.01541E-06,1.3354E-06
US,CO,El Paso County,COEl Paso County,1.25223E-05,4.84021E-06,5.68794E-06
US,CO,Elbert County,COElbert County,2.88149E-05,1.07953E-05,1.34309E-05
US,CO,Fremont County,COFremont County,5.41634E-06,2.16206E-06,2.75364E-06
US,CO,Garfield County,COGarfield County,1.61221E-06,4.98459E-07,7.45821E-07
US,CO,Gilpin County,COGilpin County,7.47917E-06,3.01293E-06,3.64637E-06
US,CO,Grand County,COGrand County,3.30456E-06,1.35604E-06,1.66569E-06
US,CO,Gunnison County,COGunnison County,1.79971E-06,6.24197E-07,8.16479E-07
US,CO,Hinsdale County,COHinsdale County,3.6471E-06,1.06896E-06,1.58835E-06
US,CO,Huerfano County,COHuerfano County,9.19982E-06,3.47786E-06,4.32453E-06
US,CO,Jackson County,COJackson County,5.70145E-06,2.41755E-06,3.07447E-06
US,CO,Jefferson County,COJefferson County,6.64015E-06,2.5186E-06,2.85263E-06
US,CO,Kiowa County,COKiowa County,0.000122919,5.69783E-05,6.70222E-05
US,CO,Kit Carson County,COKit Carson County,0.000164351,8.67505E-05,9.94694E-05
US,CO,La Plata County,COLa Plata County,4.27463E-06,9.47836E-07,1.61844E-06
US,CO,Lake County,COLake County,2.4879E-06,8.48256E-07,9.66566E-07
US,CO,Larimer County,COLarimer County,1.95898E-05,9.06812E-06,1.11408E-05
US,CO,Las Animas County,COLas Animas County,4.15576E-05,1.73992E-05,0.000019875
US,CO,Lincoln County,COLincoln County,0.000066783,2.80135E-05,3.45279E-05
US,CO,Logan County,COLogan County,0.000114706,6.71316E-05,7.21294E-05
US,CO,Mesa County,COMesa County,2.50317E-06,6.59825E-07,1.06222E-06
US,CO,Mineral County,COMineral County,3.37759E-06,9.50968E-07,1.31055E-06
US,CO,Moffat County,COMoffat County,2.25541E-06,6.01069E-07,9.13171E-07
US,CO,Montezuma County,COMontezuma County,4.12844E-06,7.38467E-07,1.4238E-06
US,CO,Montrose County,COMontrose County,2.76171E-06,6.9886E-07,1.13984E-06
US,CO,Morgan County,COMorgan County,7.96248E-05,3.86523E-05,4.25034E-05
US,CO,Otero County,COOtero County,6.35284E-05,2.38258E-05,3.01097E-05
US,CO,Ouray County,COOuray County,2.96506E-06,8.72874E-07,1.35261E-06
US,CO,Park County,COPark County,4.21941E-06,1.53139E-06,1.85062E-06
US,CO,Phillips County,COPhillips County,0.000150341,9.34819E-05,0.000105591
US,CO,Pitkin County,COPitkin County,1.91948E-06,7.41724E-07,9.44336E-07
US,CO,Prowers County,COProwers County,0.000160141,8.03066E-05,9.35801E-05
US,CO,Pueblo County,COPueblo County,1.57996E-05,5.64976E-06,7.43272E-06
US,CO,Rio Blanco County,CORio Blanco County,1.71859E-06,4.12063E-07,6.89137E-07
US,CO,Rio Grande County,CORio Grande County,3.5321E-06,1.17968E-06,1.46582E-06
US,CO,Routt County,CORoutt County,3.24953E-06,1.48445E-06,1.91631E-06
US,CO,Saguache County,COSaguache County,2.28432E-06,8.22108E-07,1.00153E-06
US,CO,San Juan County,COSan Juan County,4.0401E-06,1.33872E-06,1.97527E-06
US,CO,San Miguel County,COSan Miguel County,3.89342E-06,9.40966E-07,1.57048E-06
US,CO,Sedgwick County,COSedgwick County,0.000131263,8.09528E-05,9.11104E-05
US,CO,Summit County,COSummit County,2.97996E-06,0.00000116,1.41042E-06
US,CO,Teller County,COTeller County,8.27898E-06,3.37572E-06,4.15334E-06
US,CO,Washington County,COWashington County,0.000119805,5.69833E-05,0.000068085
US,CO,Weld County,COWeld County,5.43477E-05,2.27705E-05,2.67261E-05
US,CO,Yuma County,COYuma County,0.000182367,0.000106044,0.000120016
US,CT,Fairfield County,CTFairfield County,5.50367E-06,4.18643E-06,4.86413E-06
US,CT,Hartford County,CTHartford County,4.74323E-05,3.83696E-05,0.000043795
US,CT,Litchfield County,CTLitchfield County,4.86957E-05,3.95296E-05,4.51974E-05
US,CT,Middlesex County,CTMiddlesex County,1.84622E-05,1.31354E-05,1.49697E-05
US,CT,New Haven County,CTNew Haven County,2.52311E-05,1.76501E-05,2.03771E-05
US,CT,New London County,CTNew London County,1.06306E-05,7.88365E-06,8.91767E-06
US,CT,Tolland County,CTTolland County,2.38654E-05,0.000019545,2.20569E-05
US,CT,Windham County,CTWindham County,1.21057E-05,0.00001015,0.000011331
US,DC,District of Columbia,DCDistrict of Columbia,1.65523E-05,1.37882E-05,1.53498E-05
US,DE,Kent County,DEKent County,2.83669E-05,2.04703E-05,2.34641E-05
US,DE,New Castle County,DENew Castle County,3.55644E-05,2.68048E-05,3.06194E-05
US,DE,Sussex County,DESussex County,2.71125E-05,1.97705E-05,2.25313E-05
US,FL,Alachua County,FLAlachua County,3.68867E-05,0.000025947,3.05424E-05
US,FL,Baker County,FLBaker County,1.85482E-05,1.48711E-05,1.68912E-05
US,FL,Bay County,FLBay County,5.63264E-05,3.41866E-05,4.09158E-05
US,FL,Bradford County,FLBradford County,2.93033E-05,2.18355E-05,2.52564E-05
US,FL,Brevard County,FLBrevard County,8.60857E-05,5.29869E-05,6.46298E-05
US,FL,Broward County,FLBroward County,1.78412E-05,1.03883E-05,1.30887E-05
US,FL,Calhoun County,FLCalhoun County,5.32541E-05,4.00851E-05,0.000046231
US,FL,Charlotte County,FLCharlotte County,4.61446E-05,2.88379E-05,3.52606E-05
US,FL,Citrus County,FLCitrus County,6.00558E-05,4.06791E-05,4.80654E-05
US,FL,Clay County,FLClay County,2.29315E-05,1.58985E-05,1.87348E-05
US,FL,Collier County,FLCollier County,3.04341E-05,1.96376E-05,2.35648E-05
US,FL,Columbia County,FLColumbia County,2.52292E-05,1.98185E-05,2.25133E-05
US,FL,Desoto County,FLDesoto County,5.47228E-05,3.73323E-05,4.44892E-05
US,FL,Dixie County,FLDixie County,5.19235E-05,3.59423E-05,4.20293E-05
US,FL,Duval County,FLDuval County,1.39608E-05,8.72293E-06,1.04413E-05
US,FL,Escambia County,FLEscambia County,3.11435E-05,1.92936E-05,2.16002E-05
US,FL,Flagler County,FLFlagler County,3.54706E-05,2.29714E-05,2.80416E-05
US,FL,Franklin County,FLFranklin County,5.35564E-05,2.82667E-05,3.49767E-05
US,FL,Gadsden County,FLGadsden County,0.000061892,5.30415E-05,5.99487E-05
US,FL,Gilchrist County,FLGilchrist County,4.63302E-05,3.44926E-05,4.02162E-05
US,FL,Glades County,FLGlades County,3.08224E-05,2.05741E-05,2.44749E-05
US,FL,Gulf County,FLGulf County,0.000043068,2.49632E-05,3.01737E-05
US,FL,Hamilton County,FLHamilton County,3.72597E-05,3.10704E-05,0.000034843
US,FL,Hardee County,FLHardee County,7.80222E-05,5.25364E-05,6.27015E-05
US,FL,Hendry County,FLHendry County,2.53623E-05,1.70906E-05,2.04372E-05
US,FL,Hernando County,FLHernando County,8.10665E-05,5.40382E-05,6.40325E-05
US,FL,Highlands County,FLHighlands County,5.62766E-05,3.60771E-05,4.36135E-05
US,FL,Hillsborough County,FLHillsborough County,8.28463E-05,0.000057849,0.000067297
US,FL,Holmes County,FLHolmes County,8.03488E-05,6.33374E-05,7.23547E-05
US,FL,Indian River County,FLIndian River County,6.06854E-05,0.000034617,4.27234E-05
US,FL,Jackson County,FLJackson County,0.000074927,6.05469E-05,6.90477E-05
US,FL,Jefferson County,FLJefferson County,5.08491E-05,0.000042487,4.79285E-05
