Region,State,Tier
All,,
State,AK,
State,AL,
State,AR,
State,AZ,
State,CA,
State,CO,
State,CT,
State,DC,
State,DE,
State,FL,
State,GA,
State,HI,
State,IA,
State,ID,
State,IL,
State,IN,
State,KS,
State,KY,
State,LA,
State,MA,
State,MD,
State,ME,
State,MI,
State,MN,
State,MO,
State,MS,
State,MT,
State,NC,
State,ND,
State,NE,
State,NH,
State,NJ,
State,NM,
State,NV,
State,NY,
State,OH,
State,OK,
State,OR,
State,PA,
State,RI,
State,SC,
State,SD,
State,TN,
State,TX,
State,UT,
State,VA,
State,VT,
State,WA,
State,WI,
State,WV,
State,WY,
Tier,,
Tier,,"CO, KS, MO, NE, OK, SD, TX"
Tier,,"AR, IA, IL, IN, MN, MT, ND, SD, WY"
Tier,,"AR, CO, IA, IL, IN, KS, MN, MO, MT, ND, NE, OK, SD, TX, WY"
