StateCounty,Unknown,Properly installed with adequate anchorage,Obvious signs of deficiencies in the installation,No equipment present
AKAleutians East Borough,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
AKAleutians West Census Area,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
AKAnchorage Municipality,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
AKBethel Census Area,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
AKBristol Bay Borough,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
AKDenali Borough,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
AKDillingham Census Area,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
AKFairbanks North Star Borough,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
AKHaines Borough,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
AKHoonah-Angoon Census Area,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
AKJuneau Borough,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
AKKenai Peninsula Borough,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
AKKetchikan Gateway Borough,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
AKKodiak Island Borough,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
AKKusilvak,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
AKMatanuska-Susitna Borough,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
AKNome Census Area,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
AKNorth Slope Borough,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
AKNorthwest Arctic Borough,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
AKPeninsula And Lake Borough,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
AKPetersburg Census Area,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
AKPrince Of Wales-Hyder Census Area,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
AKSitka Borough,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
AKSkagway Municipality,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
AKSoutheast Fairbanks Census Area,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
AKValdez-Cordova Census Area,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
AKWrangell City And Borough,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
AKYakutat Borough,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
AKYukon-Koyukuk Census Area,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
ALAutauga County,0.0000000000000000,-0.0351122007040242,0.0351122007040250,-0.0468674167685312
ALBaldwin County,0.0000000000000000,-0.0366932047315430,0.0366932047315429,-0.0489923441277849
ALBarbour County,0.0000000000000000,-0.0383097929776712,0.0383097929776708,-0.0513220084195075
ALBibb County,0.0000000000000000,-0.0351783487961977,0.0351783487961979,-0.0460608763236651
ALBlount County,0.0000000000000000,-0.0289717814211630,0.0289717814211630,-0.0397247082988298
ALBullock County,0.0000000000000000,-0.0363085039930869,0.0363085039930868,-0.0484545959882408
ALButler County,0.0000000000000000,-0.0382351959887958,0.0382351959887957,-0.0510764518373135
ALCalhoun County,0.0000000000000000,-0.0265431259285298,0.0265431259285305,-0.0367566773850359
ALChambers County,0.0000000000000000,-0.0326497942552909,0.0326497942552910,-0.0439230880017681
ALCherokee County,0.0000000000000000,-0.0288645399831327,0.0288645399831329,-0.0395184270242982
ALChilton County,0.0000000000000000,-0.0348704687545169,0.0348704687545167,-0.0459764846443571
ALChoctaw County,0.0000000000000000,-0.0396960010996454,0.0396960010996457,-0.0523612255663066
ALClarke County,0.0000000000000000,-0.0413539781150124,0.0413539781150125,-0.0556725060894618
ALClay County,0.0000000000000000,-0.0302699813953755,0.0302699813953746,-0.0407273491525381
ALCleburne County,0.0000000000000000,-0.0285910451960333,0.0285910451960332,-0.0388194504195640
ALCoffee County,0.0000000000000000,-0.0398506365575471,0.0398506365575466,-0.0530953868584055
ALColbert County,0.0000000000000000,-0.0311832445319102,0.0311832445319105,-0.0425766013091989
ALConecuh County,0.0000000000000000,-0.0403363294803022,0.0403363294803019,-0.0540467106250079
ALCoosa County,0.0000000000000000,-0.0312192999734701,0.0312192999734699,-0.0420005362368372
ALCovington County,0.0000000000000000,-0.0413984093630386,0.0413984093630388,-0.0550928017689083
ALCrenshaw County,0.0000000000000000,-0.0372286242055725,0.0372286242055726,-0.0496237836997300
ALCullman County,0.0000000000000000,-0.0294131732627488,0.0294131732627494,-0.0404167858195292
ALDale County,0.0000000000000000,-0.0395533766219861,0.0395533766219862,-0.0529638131741308
ALDallas County,0.0000000000000000,-0.0386596421139309,0.0386596421139305,-0.0515826097491882
ALDekalb County,0.0000000000000000,-0.0274854113447136,0.0274854113447143,-0.0382569835802424
ALElmore County,0.0000000000000000,-0.0344177403767784,0.0344177403767785,-0.0461014013232629
ALEscambia County,0.0000000000000000,-0.0426356588362131,0.0426356588362133,-0.0567529082120786
ALEtowah County,0.0000000000000000,-0.0274279657318950,0.0274279657318943,-0.0378457523105985
ALFayette County,0.0000000000000000,-0.0308933657839732,0.0308933657839734,-0.0421940904051208
ALFranklin County,0.0000000000000000,-0.0301174689231173,0.0301174689231174,-0.0415625533387117
ALGeneva County,0.0000000000000000,-0.0415377849885428,0.0415377849885432,-0.0554656403404915
