ihs_country,bi_country
Australia,AUSTRALIA (NATIONWIDE)
Bahamas,BAHAMAS (INCL TURK & CAICO IS)
Benin,BENIN (SOUTH WEST AFRICA)
Bosnia and Herzegovina,BOSNIA-HERZAGOVINA
Canada,CANADA (NATIONAWIDE)
Cayman Islands,THE CAYMAN ISLANDS
Congo Democratic Republic,CONGO DEMOCRATIC REPUBLIC OF
"Congo, Republic of the",CONGO BRAZZAVILLE
"Congo, Republic of the",CONGO
Cote d'Ivoire (Ivory Coast),IVORY COAST (AFRICA)
Curacao,CURACAO & ARUBA
Curacao,NETHERLAND ANTILLES
Czechia,CZECH REPUBLIC
Equatorial Guinea,EQUITORIAL GUINEA (AFRICA)
"Gambia, The",GAMBIA
Guinea,GUINEE CONAKRY (AFRICA)
Hong Kong SAR,HONG KONG
Kazakhstan,KAZAKSTAN
Kyrgyz Republic,KYRGYZSTAN
"Macedonia, North",MACEDONIA
Myanmar (Burma),BURMA (MYANMAR)
Portugal,PORTUGAL-MAINLAND
Puerto Rico,PUERTO RICO (NATIONWIDE)
Russia,RUSSIA/FORMER USSR
South Korea,"Korea, Republic of"
Suriname,SURINAM
Tanzania,ZANZIBAR
Trinidad and Tobago,TRINIDAD
United Kingdom,CHANNEL ISLANDS
United Kingdom,GUERNSEY
United Kingdom,ISLE OF MAN
United Kingdom,JERSEY
United Kingdom,VIRGIN ISLANDS (UK)
United States,US (HEAVY NATIONWIDE)
United States,ARIZONA
United States,CALIFORNIA
United States,CONNECTICUT
United States,FLORIDA
United States,ILLINOIS
United States,MICHIGAN
United States,NEW JERSEY
United States,NEW YORK
United States,OHIO
United States,PENNSYLVANIA
United States,TEXAS
United States,US SOUTH EAST
US Virgin Islands,VIRGIN ISLANDS (US)
US Virgin Islands,VIRGIN ISLANDS
