Lower,Upper,Group1,Group2,Group3,Group4,Group5
0,25,35000,10000,10000,7500,5000
25,50,35000,10000,10000,7500,5000
50,100,35000,10000,10000,10000,7500
100,200,35000,15000,15000,10000,10000
200,300,35000,20000,20000,15000,10000
300,400,35000,25000,25000,15000,15000
400,500,50000,35000,35000,25000,25000
500,750,75000,50000,50000,35000,35000
750,1000,100000,75000,75000,50000,50000
1000,2000,150000,100000,100000,75000,75000
2000,4000,250000,250000,150000,100000,100000
4000,10000,500000,350000,250000,250000,250000
10000,20000,1000000,1000000,1000000,750000,1000000
20000,1000000,1000000,1000000,1000000,1000000,1000000
