Lookup,EELimitFrom,EELimitTo,ReinstateMultiple,AggLimitFrom,AggLimitTo,EPLFactor
2500001,250000,500000,1,250000,500000,0.7
2500002,250000,500000,2,500000,750000,1
2500003,250000,500000,3,750000,1000000,1
2500004,250000,500000,4,1000000,1250000,1
2500005,250000,500000,5,1250000,1500000,1
2500006,250000,500000,6,1500000,1750000,1
2500007,250000,500000,7,1750000,2000000,1
2500008,250000,500000,8,2000000,2250000,1
2500009,250000,500000,9,2250000,2500000,1
25000010,250000,500000,10,2500000,25000000,1
5000001,500000,1000000,1,500000,1000000,0.85
5000002,500000,1000000,2,1000000,1500000,0.9
5000003,500000,1000000,3,1500000,2000000,1
5000004,500000,1000000,4,2000000,2500000,1.15
5000005,500000,1000000,5,2500000,3000000,1.25
5000006,500000,1000000,6,3000000,3500000,1.3
5000007,500000,1000000,7,3500000,4000000,1
5000008,500000,1000000,8,4000000,4500000,1
5000009,500000,1000000,9,4500000,5000000,1
50000010,500000,1000000,10,5000000,25000000,1
10000001,1000000,2000000,1,1000000,2000000,1
10000002,1000000,2000000,2,2000000,3000000,1.2
10000003,1000000,2000000,3,3000000,4000000,1.4
10000004,1000000,2000000,4,4000000,5000000,1.45
10000005,1000000,2000000,5,5000000,6000000,1.55
10000006,1000000,2000000,6,6000000,7000000,1.6
10000007,1000000,2000000,7,7000000,8000000,1.65
10000008,1000000,2000000,8,8000000,9000000,1.7
10000009,1000000,2000000,9,9000000,10000000,1.75
100000010,1000000,2000000,10,10000000,25000000,1.85
20000001,2000000,3000000,1,2000000,4000000,1.35
20000002,2000000,3000000,2,4000000,6000000,1.45
20000003,2000000,3000000,3,6000000,8000000,1.55
20000004,2000000,3000000,4,8000000,10000000,1.65
20000005,2000000,3000000,5,10000000,12000000,1.65
20000006,2000000,3000000,6,12000000,14000000,1.65
20000007,2000000,3000000,7,14000000,16000000,1.65
20000008,2000000,3000000,8,16000000,18000000,1.65
20000009,2000000,3000000,9,18000000,20000000,1.65
200000010,2000000,3000000,10,20000000,25000000,1.65
30000001,3000000,4000000,1,3000000,6000000,1.55
30000002,3000000,4000000,2,6000000,9000000,1.55
30000003,3000000,4000000,3,9000000,12000000,1.55
30000004,3000000,4000000,4,12000000,15000000,1.55
30000005,3000000,4000000,5,15000000,18000000,1.55
