Age,0,1,2,3,4,5
17,0.000159,0.000206,0.000242,0.000277,0.000313,0.000363
18,0.00016,0.000207,0.000243,0.000279,0.000314,0.000365
19,0.000161,0.000209,0.000245,0.000281,0.000317,0.000368
20,0.000163,0.000211,0.000248,0.000284,0.00032,0.000372
21,0.000164,0.000213,0.00025,0.000286,0.000323,0.000375
22,0.000166,0.000216,0.000253,0.00029,0.000327,0.00038
23,0.000168,0.000218,0.000256,0.000293,0.000331,0.000384
24,0.00017,0.000221,0.00026,0.000298,0.000336,0.00039
25,0.000173,0.000225,0.000264,0.000302,0.000341,0.000396
26,0.000176,0.000229,0.000268,0.000308,0.000347,0.000403
27,0.00018,0.000233,0.000274,0.000314,0.000354,0.000411
28,0.000184,0.000239,0.00028,0.000321,0.000363,0.000421
29,0.000189,0.000245,0.000287,0.00033,0.000372,0.000431
30,0.000196,0.000254,0.000297,0.000341,0.000384,0.000443
31,0.000206,0.000265,0.00031,0.000354,0.000399,0.000456
32,0.000217,0.000279,0.000325,0.000371,0.000417,0.000471
33,0.000231,0.000295,0.000343,0.000391,0.000439,0.000489
34,0.000245,0.000311,0.000361,0.000411,0.000461,0.000508
35,0.000261,0.00033,0.000382,0.000434,0.000486,0.000531
36,0.000278,0.00035,0.000405,0.000459,0.000514,0.000556
37,0.000297,0.000373,0.00043,0.000488,0.000545,0.000585
38,0.000317,0.000397,0.000458,0.000518,0.000579,0.000617
39,0.000339,0.000424,0.000489,0.000553,0.000617,0.000654
40,0.000364,0.000455,0.000523,0.000591,0.000659,0.000696
41,0.000391,0.000488,0.000561,0.000634,0.000707,0.000744
42,0.000422,0.000526,0.000604,0.000682,0.00076,0.000798
43,0.000455,0.000567,0.000652,0.000736,0.00082,0.00086
44,0.000492,0.000613,0.000704,0.000795,0.000886,0.000929
45,0.000533,0.000665,0.000763,0.000862,0.000961,0.001008
46,0.000579,0.000722,0.00083,0.000937,0.001045,0.001098
47,0.000629,0.000786,0.000903,0.001021,0.001139,0.0012
48,0.000685,0.000857,0.000985,0.001114,0.001243,0.001315
49,0.000747,0.000936,0.001078,0.00122,0.001362,0.001447
50,0.000816,0.001024,0.00118,0.001336,0.001493,0.001595
51,0.000892,0.001122,0.001294,0.001467,0.00164,0.001764
52,0.000975,0.00123,0.001422,0.001613,0.001805,0.001955
53,0.001067,0.00135,0.001563,0.001776,0.001989,0.002172
54,0.001169,0.001484,0.001721,0.001958,0.002195,0.002418
55,0.001281,0.001632,0.001897,0.002161,0.002425,0.002697
56,0.001403,0.001796,0.002092,0.002387,0.002682,0.003013
57,0.001538,0.001978,0.002308,0.002639,0.002969,0.003371
58,0.001687,0.00218,0.00255,0.00292,0.00329,0.003778
59,0.00185,0.002403,0.002818,0.003233,0.003648,0.004238
60,0.002029,0.00265,0.003116,0.003582,0.004049,0.00476
61,0.002225,0.002923,0.003447,0.003972,0.004496,0.005351
62,0.002441,0.003227,0.003817,0.004407,0.004997,0.006021
63,0.00268,0.003564,0.004229,0.004893,0.005558,0.006781
64,0.002942,0.003939,0.004687,0.005436,0.006184,0.00764
65,0.003233,0.004356,0.0052,0.006044,0.006888,0.008614
66,0.003556,0.004823,0.005775,0.006727,0.007679,0.009717
67,0.003915,0.005345,0.006419,0.007493,0.008568,0.010965
68,0.004317,0.005931,0.007144,0.008357,0.00957,0.012378
69,0.004769,0.006592,0.007962,0.009331,0.010701,0.013977
70,0.005282,0.007341,0.008888,0.010434,0.011981,0.015786
71,0.005866,0.008192,0.009939,0.011686,0.013433,0.017832
72,0.006536,0.009164,0.011138,0.013111,0.015085,0.020145
73,0.007311,0.01028,0.012509,0.014739,0.016969,0.022759
74,0.008214,0.011567,0.014086,0.016606,0.019125,0.025712
75,0.009273,0.013061,0.015907,0.018753,0.021599,0.029048
76,0.010523,0.014803,0.018018,0.021233,0.024448,0.032813
77,0.01201,0.016844,0.020475,0.024106,0.027737,0.03706
78,0.013789,0.019247,0.023347,0.027447,0.031548,0.041849
79,0.015861,0.022023,0.026652,0.031281,0.03591,0.047245
80,0.018195,0.02515,0.030374,0.035598,0.040822,0.053319
81,0.020709,0.028555,0.034449,0.040342,0.046236,0.060153
82,0.023428,0.032275,0.038921,0.045567,0.052213,0.067833
83,0.026091,0.035944,0.043346,0.050748,0.05815,0.076454
84,0.028833,0.039722,0.047901,0.056081,0.06426,0.086088
85,0.031822,0.04384,0.052867,0.061895,0.070922,0.095529
86,0.035074,0.048319,0.058269,0.068219,0.078169,0.10529
87,0.038604,0.053183,0.064134,0.075085,0.086037,0.115888
88,0.042429,0.058452,0.070488,0.082525,0.094561,0.12737
89,0.046563,0.064148,0.077357,0.090567,0.103776,0.139782
90,0.051022,0.070291,0.084765,0.09924,0.113714,0.153168
91,0,0.076901,0.092736,0.108572,0.124407,0.167571
92,0,0,0.101291,0.118587,0.135883,0.183029
93,0,0,0,0.129306,0.148166,0.199573
94,0,0,0,0,0.161276,0.217232
95,0,0,0,0,0,0.236024
96,0,0,0,0,0,0.255963
97,0,0,0,0,0,0.277048
98,0,0,0,0,0,0.299269
99,0,0,0,0,0,0.322606
100,0,0,0,0,0,0.346759
101,0,0,0,0,0,0.370214
102,0,0,0,0,0,0.392528
103,0,0,0,0,0,0.413752
104,0,0,0,0,0,0.433932
105,0,0,0,0,0,0.45311
106,0,0,0,0,0,0.471326
107,0,0,0,0,0,0.488618
108,0,0,0,0,0,0.505018
109,0,0,0,0,0,0.520556
110,0,0,0,0,0,0.535256
111,0,0,0,0,0,0.549141
112,0,0,0,0,0,0.562225
113,0,0,0,0,0,0.574517
114,0,0,0,0,0,0.586017
115,0,0,0,0,0,0.596712
116,0,0,0,0,0,0.606569
117,0,0,0,0,0,0.615519
118,0,0,0,0,0,0.623412
119,0,0,0,0,0,0.62982
