insured
"AMERICAN PAVEMENT HOLDINGS, INC. C/O CAPITAL ALIGNMENT PARTNERS"
AMETEK
AMEY UK LIMITED
AMT Group Pty
Anasazi
AnShen Development Co Ltd
ANT INTERNATIONAL TECHNOLOGIES (HONG KONG) LIMITED
Antelliq
ANTIPODES PARTNERS HOLDINGS PTY LTD
Antler Holdco Limited
Anubex
AP4 HOLDING COMPANY LLC
APA INFRASTRUCTURE LIMITED
Apex Globe
Apicore LLC
Apple Montessori
"APPLIED TECHNICAL SERVICES, LLC"
Aptuit
AQS BIDCO GMBH (FORMERLY: BLITZ F23-664 GMBH)
AQUA INVESTMENTS LIMITED
Aqua Lagoon Investment Ltd
Aquila Capital Holding GmbH
AQUILO HOUSE PTE. LTD.
ARA Asset Management Limited
Arch investments 77R
Ardentis Capital Holding S.A.
ARI ARMATUREN ALBERT RICHTER GMBH & CO. KG
Arqiva Services Limited
ARTEMIS LUX BIDCO S.�.R.L (LUXEMBOURG) (A BROOKFIELD ENTITY)
"ARTEUM, LLC (AFFILIATE OF PANUM TELECOM, LLC)"
"Artifact Health, Inc."
"ARTISAN MAKER HOLDINGS, LLC"
Arts Alliance Media Investments Limited
ASCEND TELECOM INFRASTRUCTURE PRIVATE LIMITED
Ashley Stewart Inc
Asia Outsourcing
"ASP GLOBAL, LLC"
Asphalt Paving
Aspire Invest Holding GmbH
Assetinsure
Assets of Alacrity Services
Assets of Cision US Inc. used to support the CisionPac software product
assets of CLARA ehf
Assets of Edcon
Assets of Gas Turbine Efficiency AB and Gas Turbine Efficiency Sweeden AB (comprising the combustion turbine water wash systems business)
Assets of MDT Personnel entities
Assets of Pentair PLC
Assets of the French retail banking arm of HSBC
Assets Shentel
ASTORG ENTITY
Athlon Car Lease International B.V.
"A-Thread Apparel, LLC"
Atinea 6
Atlanta Allergy
Atotech
Atrium Innovations
Attenti Electronic Monitoring Group Limited
Australian Diversified Healthcare Fund
"AUTURA AGGREGATOR, LP"
AVIALLIANCE UK LIMITED
AZURE HOLDO LIMITED
B&G Technologies
B&K Verm�gen GmbH
BAC Florida Bank
Baiersbronn (Germany) GmbH
BAILY ACQUISITION LLC C/O KEYSTONE CAPITAL
"BAIN CAPITYAL CREDIT, LP."
Ball Corp
BANKS AND ACQUIRERS HOLDING INTERNATIONAL S.A.S.
"BANNER INDUSTRIES OF N.E., LLC"
BAWAG P.S.K. BANK F�R ARBEIT UND WIRTSCHAFT UND �STERREICHISCHE POSTSPARKASSE AKTIENGESELLSCHAFT
BayFirst Solutions LLC
"BB GLOBAL INVESTING HOLDING, S.L."
BBA
BCI Media
BCP ASIA II TOPCO IV PTE. LTD.
BEACON RAIL METRO FINANCE B.V.
BEAM TBA
Bear Down Consulting
Beijing Gateway Plaza (Cayman) Limited
Bellisio Foods
BERHYANDA LIMITED
Berlina Holdings Limited
BESSEMER INVESTMENT PARTNERS
BestX Limited
Beyontec 2nABLE Solutions Private Limited
BGIF IV UK HOLDINGS LIMITED
Biamp Systems Corporation
Bifodan A/S
Biliki KSP 3 spolka z ograniczona odpowiedzialnoscia sp�lka komandytowa
BIMM Topco Limited
"Biocare Medical, LLC"
BioClinica-Synowledge Holdings Corp.
BioDerm
BioPharma division of GE Healthcare
bistroMD LLC
BLACKROCK
BLACKSTONE
BLITZ F23-620 GMBH
BLITZF24-461 GMBH
Blue Chip Group
BLUE OWL NUCLEUS HOLDCO LLC
"BLUE RIDGE CABLE TECHNOLOGIES, INC."
BLUE ROAD CAPITAL
Blue Star
BLUE WATER ENERGY
Bluegiga Tech Oy
"BLUEHALO, LLC"
BMC SOFTWARE
"BMC Software, Inc."
Bolt Equity Limited
"Bolton Furniture, Inc."
BOMI HOLDING S.R.L. and BOMI ITALIA S.P.A.
BOND INTERNATIONAL SOFTWARE (UK) LIMITED and others
BOSCH
"BPCP PENNACLE INTERMEDIATE HOLDINGS, INC."
BrainTrust
"Brand Industrial Holdings, Inc."
Brand Value Accelerator
Brian Investments Pty Ltd
"BROADSTONE NET LEASE, LLC"
Bronco Manufacturing
BROOKFIELD GLOBAL TRANSITION FUND (BGTF)
BRUKER SWITZERLAND AG
Brussel Airport Investments S.� r.l.
"BSKP MERGER SUB, INC. (AFFILIATE OF BOWSPRIT, LTD. C/O SHAWKWEI & PARTNERS)"
BSN medical Luxembourg Group Holding S.� r.l.
Buchanan Rubber
BUNGE LIMITED
BURLINGTON LOAN MANAGEMENT DESIGNATED ACTIVITY COMPANY
Butterfly Gandhimathi Appliances Limited
"BV3 LOGISTICS ACQUISITION, LLC"
CA INDOSUEZ WEALTH (EUROPE) S.A.
Cablecraft Motion Controls
Cabot Industrial Core Fund Blocker LLC
CACTUS COMMUNICATIONS INC.
"Cal Quality Electronics, Inc."
"CALERA CAPITAL IMAGE HOLDINGS, L.P."
Calisen MidCo I Limited
"Calpet LLC and R&G, Inc"
CA-MC ACQUISITION UK LIMITED
Camfaud Concrete Pumps Limited
Campaign Monitor Pty Limited
Canadian Instrument Products Solutions
Capelle Pigments
Capital Power - Island Generation Facility
Capterra
CardConcepts
Cardlink Systems Limited
Cardo Systems Ltd
CARLYLE
Carriage Holdings
"CASE CONSULTING, LLC"
Cassidy Turley
Cathedral
CC SAG Parent Corp
CD OPCO HOLDING CORPORATION C/O HBM HOLDINGS COMPANY
"Centerpoint, Inc."
"CENTRAL MOLONEY, LLC"
Cenveo
Ceram Tec
Certain property based on Hungary
Certain property based on Romania
"CERVANTES BIDCO, S.L.U."
CF Group Holdings Pty Ltd
CGI
CGS&C
CHALHOUB GROUP MCT F.Z.E.
Chalk Couture
Charles River Systems
"CHART INDUSTRIES, INC. "
"ChartWise Medical Systems, Inc."
"Chemsolv, Inc. and Eden Custom Processing, LLC"
"Chesapeake NetCraftsmen, LLC"
CHESAPEAKE TECHNOLOGY INTERNATIONAL CORP.
"Chipita S.A,"
"CHIPPEWA OPERATING, INC."
Chiswick Park Estate
CIN7 Limited
"CIRA APPS, INC."
CITRINE EXCESS
CITRINE INCLUSION LIMITED
Citrus Payment Solutions Pte Ltd
City Farmers Investments Pty Ltd
CK WILLIAM ENERGY UK LIMITED
Clarke Group Holdings
CLEANOVA UK BIDCO LIMITED
Clear Lam
"ClearPointe, LLC"
Cleartrip Private Limited and Cleartrip MEA FZ LLC
Cloud Packaging Solutions
Cloudmed
Cluttons - Middle East
"CMI BUYER, INC."
CMO International ApS and Launch IP assets
COBALT SERVICE PARTNERS
"Cobra Legal Services, LLC"
Coherent Path Inc.
"Collect RX, LLC"
Columbia Asia Healthcare
"Comm-Works Investment Holding Company, LLC"
"Compagnie de Banque Priv�e Quilvest, a public limited liability company"
COMPASS HEALTH CARE SDN.BHD
Computer Systems Integration Group Limited
Con Edisson Clean Energy
Conmed Healthcare
"Consolidated Fabricators Corporation and ConFab and Fabricantes Consolidados, S. de R.L. de C.V"
Coretex limited
Covex LLC
C-Preme Limited LLC
"CR Brands, Inc."
Cranky Health Pty Ltd
Crescendo Bioscience
"Crimson Steel Supply, LLC"
CRTS
CS Truck
CSA Service Solutions
CSG Equityco Limited
"CSG, Inc."
CSGM A.S.
CTI
Culligan
"CURRAN BUYER, LLC"
Custom Made Meals LLC and Custom Corned Beef LLC
Custom Veterinary Services
CVC ADVISERS COMPANY (LUXEMBOURG) S.� 
CVC ADVISERS COMPANY (LUXEMBOURG) S.� R.L.
"CWM ENVIRONMENTAL, LLC"
Cyber X Designs
"CYDECOR HOLDING COMPANY, INC."
CYERA US INC.
CYPRESS POINT HOLDINGS (DIFC) LIMITED
D Capital Fund 1 Proprietary Limited
Da Vinci Group B.V.
DAIGAS SJ CGD PTE. LTD.
DAISY MANUFACTURING
"DANCE NATION HOLDINGS, LLC"
DanChem
DANSTAR FERMENT AG
Dark Fibre Africa
Darkblade Systems Corporation
"Dart Casting, Inc."
Data Systems Analytics
Davall Gears Ltd
DCA eHealth
"DCM-DSG HOLDINGS, LLC"
"DCS Consulting, Inc. d/b/a cBEYONData"
DDS Concepts
DealerLogix
Delta Gear
"DESIGN WORLD LLC D/B/A WTWH MEDIA, LLC"
Detroit Tools
DEUTZ CORPORATION
DEXUS FUNDS MANAGEMENT LIMITED
DF King
"DHPC Technologies, Inc."
DIF II Portfolio and the DIF III Portfolio
DIGI Tavkozlesi es Szolgaltato Kft
Digicel Pacific Limited
DIMOSIA EPICHEIRISI ILEKTRISMOU ANONYMI ETAIREIA (PPC SA)
"DIRECTV HOLDINGS, LLC"
Dirt Doctors
DIVCON INTERMEDIATE LLC (C/O GOLDMAN SACHS & CO. LLC)
DMS Health Technologies
Docent Health
DocsCorp Group Pty Limited
Doctor Diabetic
Doggie Dailies
DOLOMITES TBA
Donaldson Coal (Ltd
DRC Capital LLP
DSI Logistics
dummy_firm
Duravant
Duva Sawko
DV4 Properties Orchard Brae Co. Limited
"DXP ENTERPRISES, INC. "
"E B Industries, LLC"
E.ON ENERGIE DEUTSCHLAND GMBH
"E.S. WEST COAST, LLC"
Eagle Parent Canada Inc - Gemcon Software
EASY BRAIN LIMITED
EASY METRICS INC. 
"eBay Mobile Labs, Inc., eBay Services M�xico, S. de R.L. de C.V., Mobile.de GmbH and eBay Classifieds Holding B.V."
"ECARD HOLDINGS, L.L.C."
EC-Council Holding Pte. Ltd
EINSTEIN BIDCO GMBH
Ekahau Inc
eldoLAB Holding
ELISTAR AB
ELLIOTT MANAGEMENT
Elster Group
EMD HOLDING CORP
Emerald Grain Pty Ltd
Emerson Electric Climate Technologies business
Emphysys
EMPIRE OPPORTUNISTIC SECONDARY FUND LP
Endot Industries
Energy Capital Partners
EnergyNet
ENERSOL RSC LIMITED
"Enseo Holdings, Inc."
Entercoms
Enterprise Information Services
Enviro Waste Services Limited
Envirogen
Environmental Operating Solutions
ENVOIX CORPORATION
EP Henry
"EP RACK PURCHASER, INC. C/O MSOUTH EQUITY PARTNERS, LLC"
Epco
"EPIKA HOLDINGS, INC."
Epsilon Global Communications Pte Ltd
EQOS ENERGIE HOLDING S.� R.L.
EQUITIX ARAGORN BIDCO LIMITED
ERGO PRIVATE CAPITAL GESUNDHEIT GMBH AND ERGO PRIVATE CAPITAL VORSORGE GMBH
Eric Polesuk and Club Product
"ERS Equistrian, Inc."
ESC Engineering
"ETELLIGENT PURCHASER, LLC"
Euro Auctions Limited
European Surgical Partners
EUSA Pharma (UK) Limited
Everis
"EXCEED BUYERCO, LLC"
EXCELITAS TECHNOLOGIES GMBH & CO. KG
"Excivity, Inc."
Expedeon Holdings
Experience Australia Topco Pty Ltd
Expression Analysis
Faethm Holdings Pty Limited
Fagioli SpA
Fairleaf Real Estate Private Limited
"Famand, Inc. d/b/a Indoor Environmental Services"
FAR EAST DRUG (B.V.I.) CO. LTD.
Fast Limited
"FB WICKLES, LLC"
Fed Group
"Federal Division of Blackstone Technology Group, a provider of IT consulting services"
"Feel Good Organics, LLC and Jade Leaf, LLC"
Femi Premium
"FENCESCREEN, LLC"
FENGARI
FERGUSON
Fibrotech
Fiege Logistics Holding Stiftung & Co.KG
Fi-Foil
Fiftyfive5
Finnigan Investments (Australia) Pty Ltd (trading as OneAffiniti)
"Fire & Access Control Systems.com, Inc., Therrell Alarm Protection Service, Inc., Alarm Center, Inc., and Fire & Burglary Systems, Inc."
Firestone Building Products LLC
First Impressions Ironworks
Firth Rixson
Fisher Container Corp.
Fisher Funds Management Limited
"FJC Security Services, Inc."
Flugo Group Holdings AB
FLYWHEEL COMPANY LIMITED
FMV PORTS (ITALY) BIDCO SARL
"Food Automation � Service Techniques, LLC"
Food Holdings Pty
Foot Petals business
"Forever Cheese, Inc."
Formation Brands
Fortum H&C 1 B.V.
Forum & Usti
"FORUM CANADA ULC C/O FORUM ENERGY TECHNOLOGIES, INC."
Foster and Partners Group Limited
Fotona
FOURSHORE CAPITAL PARTNERS
FRACTAL ANALYTICS PRIVATE LIMITED
"FRESHPOINT, INC. (AFFILIATE OF SYSCO CORPORATION)"
FT Morrell & Company
FTR PTY ltd
Fuerst Day Lawson
Fulcrom IT Services
Fullbay Inc.
G.S. Robins & Company
G:Res Group
G2 Intergrated
GALP NEW ENERGIES S.A.
GARMIN
"GARNER INDUSTRIES INTERMEDIATE, LLC"
GAUGE CAPITAL LLC D/B/A AXXIOM ELEVATOR
"GBE SUB, LLC (AFFILIATE OF GRAYBAR ELECTRIC COMPANY)"
"GBE2, LLC (AFFILIATE OF GRAYBAR ELECTRIC COMPANY, INC.)"
GENERAL ATLANTIC SINGAPORE UCH PTE. LTD
"GENESIS PRODUCTS, LLC"
GENIUS BIDCO HOLDINGS PRIVATE LIMITED
Genpak LLC
GENTARI RENEWABLES INDIA PTE. LTD.
Gerber Life
"Geronimo Systems, LLC dba TubeBuddy"
Geveke
GHI Energy Services
"GIFTED ULTIMATE HOLDINGS, LLC"
"GILAT MERGER SUB, INC."
Gilberts Craft Sausages
Giles
GIP EM ASCEND 2 PTE. LTD
GLA Software
Gland Pharma Limited
GLAXOSMITHKLEIN RESEARCH & DEVELOPMENT LIMITED
GLD LLC
GLENCORE INTERNATIONAL AG
Global Data Center Ltd
"Global Holdings, LLC"
Global logic
"Global Measurement Technologies, Inc. and Clean Room Plastics, Inc."
GM HEALTHCARE LTD (MUBADALA HEALTH LLC ENTITY)
GNA Biosolutions GmbH
Go Bus Holdings
GOLDEN ARCHES INVESTMENTS LIMITED
GOLDEN GATE CAPITAL (BRAVA ROOF TILE DEAL)
GOLDMAN SACHS ASSET MANAGEMENT (AS LEAD INVESTOR IN THE CONTINUATION VEHICLE)
Golpasz S.A.
GOODWOOD TBA
Goshawk Aviation Subscription Shares and the Transferred Assets and the assumption of the Transferred Liabilities
Goverlan Inc
GPS Insight LLC
Graham Architectual Products
Grant Aviation
Graycourt Capital
Green Infra Ltd
GREENPEAK PARTNERS 
Greensands Holdings Limited
Griswold Home Care LLC
"GRVTY, INC."
GSK PLC
GSP
"GSP PRIME BUYER, LLC"
GT Motive
GUESTY INC.
"Gunnison Tree Services, LLC"
Gutehoffnungshutte
H.I.G. Milan UK Topco Limited
Habacker Property
Hancock Concrete
Harbinger Funds
"HARMONY ACQUISITION, INC."
HB&G
HCL TECHNOLOGIES UK LTD.
HDI ACQUISITION COMPANY PTY LTD
"HEALTH DATA VISION, INC., D/B/A REVELEER"
Healthcare Global Enterprises Limited
HENDRIX GENETICS B.V.
Hexaware Technologies Limited
HIGHWAYS INFRASTRUCTURE TRUST
Hilcrest Investments
Hinduja Global Solutions
"Hinsdale Animal Cemetery & Crematory, Rolling Acres Memorial Gardens, Loving Hearts Pet Memorial Services, and HAC Kansas City Real Estate"
HITCO carve out
HMC CAPITAL LIMITED
Hoare Lea LLP
Holland Square Group
HOLLARD INTERNATIONAL (PTY) LIMITED
"Homebot, Inc."
"Homewerks Worldwide, LLC"
HONEYWELL
Hop Lun Limited
Hospitality 101 assets
Hoyts Group Hldg
"HPH-TH Holdings, Inc."
"HT BLUE WATER, LLC"
HTC Borrower
Huron Inc
Hutchinson Plumbing
HYDROCK HOLDINGS LIMITED
I SQUARED CAPITAL
iCAT logistics
ICG ASIA PACIFIC FUND IV SF (NO. 1) SCSP
"ICHOS INTERMEDIATE, INC."
ICV PARTNERS
ID Scan Biometrics Limited
IDI Logistics Realty
IFM GROWTH PARTNERS SERVICES
IKO Sub Israel Ltd
IMPACT XM ACQUISITION LLC (C/O THE RIVERSIDE COMPANY)
"IMS OPERATIONS, LLC"
INDIANNA TBC
"Industrial Division SP, ZO.O"
Inenco Holdings Limited
Infinity Labs R&D Ltd.
Infinity Worlds and Belmont Partners
INFOSYS GERMANY GMBH
Infracapital Alticom B.V.;
Infront Sports AG
INNOVALIFT AB
Innovasystems International
Innovia
iNova Pharmaceuticals (Singapore) Pte Ltd
Inspired Education Holdings Limited
"INTEGRA TESTING SERVICES, LLC (PORTCO KEYSTONE CAPITAL)"
Intelligent Shift
"IntelliWare Systems, Inc."
Intercable Automotive Solutions S.r.l.
INTERNATIONAL CHEMICAL INVESTORS XII GMBH
"Interpreting Services International, Inc."
Interstate Holdings
Intertrust International
INTESA SANPAOLO S.P.A
intive S.A.
Intrepid Solutions and Services
Intsights Cyber Intelligence Ltd
Invertek Drives Limited
IRIS GLOBAL INC. 
Ironshore Inc
Irrawaddy Towers Asset Holding Pte. Ltd
"Irving Burton Associates, LLC"
ISiS Solar Limited
ISiS Solar Limited - Project Panther Tranche I
J M Baxi Ports and Logistics Limited
J.D. POWER
JAGUAR TBA
JB Riney & Co Ltd
JB Wholesale Roofing & Building Supplies
Jem Finco - Endeka
JERA GREEN LTD
JET INFRASTRUCTURE HOLDING IA LLC
JF Hillbrand Group
Jindal Poly Films Limited
JKE supply
"JOHNSON WELDED PRODUCTS, LLC"
Jones Knowles Ritchie Limited
JR Automation
JTM Foods
"Judicial Correction Services, Inc"
Jun Group Productions
Jupiter
JUUL Labs Inc
K&K Screw
"KAIROS AVIATION HOLDINGS, LLC"
"Karavan Trailers, Inc."
Katama Limited
"KDSA INVESTMENT PARTNERS, LLC"
KEDAARA CAPITAL GROWTH FUND III LLP
Keebler
Kestrel Power
KEYSTONE
KFP Holding
KI Acquisition Inc.
Kitty Hawk Inc.
KMS Inc.
Knowlarity Communications Holdings Pte. Ltd. and Knowlarity Communications Pvt. Ltd.
KOHLER CO.
Kraft & Bauer Holding GmbH
Kudu Foods
KWABAAL B.V.
KWINANA WTE HOLDINGS PTY LTD
La Trobe Financial
Landmark Bulgaria
LEA STRATEGIC OPPORTUNITIES FUND I GMBH & CO. KG
"Lead Envy, LLC"
Leaseplan Corp NV
LeasePlan Corporation N.V.
Lehwood Holding France SAS
Lekela Power B.V.
Lendi Pty Ltd
Leopard Germany Bero 1 S.a.r.l and Leopard Germany Bero 2 S.a.r.
LeSaint Logistics
Let's Print
"Lewellyn Technology, LLC and Safety Engineering, PLLC"
Liberty Technology Park S.A.
Lidorr Elements Ltd and Pro Agro Ltd
Lightech Electronic Industries Limited
Lighting business of Eaton
Lime Energy
Limimed Group GmbH
Little Caesars - 32 Franchise locations
Livesystem Group AG
Livingston Machinery Company
"LLCP LMM ACQUISITION FUND, L.P."
LM Sistemas
L'OREAL AUSTRALIA PTY LTD.
Lornamead
LOVING TAN BIDCO PTY LTD
"LSO Group, Inc."
"Luis Oliveira SA - SGPS, S.A."
Lumen
Lux Med sp. Z o.o.
LWL-Sachsenkabel GmbH-Spezialkabel und Vernetzungstechnik and EUROMICRON Werkzeuge GmbH
Mabey Engineering Australia (Holding) Pty Limited
MAC Financial Holding Corporation
Macarius GmbH
MacArthur Corp
Mack Fire Protection
MACQUARIE
MACQUARIE BANK LTD
MACQUARIE INFRASTRUCTURE PARTNERS VI
Macquarie Terminal Holdings LLC
MACQUARRIE CONSULTING
"MAI CR ACQUISITION, INC. (C/O CENTER ROCK CAPITAL PARTNERS, L.P.)"
"ManageYOURiD, Inc."
MANARA MINERALS JERSEY LIMITED
Manchester Airport Group Plc
MANDRAKE BIDCO
MANKIND PHARMA LIMITED
MARKERSTUDY GROUP LIMITED
Marmic Fire
MARSH MCLENNAN
MARSH MCLENNON
Martin Healthcare Group
MASDAR HELLAS SINGLE MEMBER S.A.
MATRIX COMPANY LIMITED
Max IT Finance Ltd
Mayr-Melnhof Eerbeek B.V.
MB Futurum HK s.r.o
MBI Industrial medicine
MBK PARTNERS
Mectra Labs Inc.
MED1
Mederma
Medica Synergie Private Limited
"MEDICAL GUARDIAN, LLC"
Medivet
MEDLOG OCEANIA PTY LTD
"MedPro Advantage, SkinDimensionsOnline.com LLC"
MedSource Global Solutions
MEP NAAS
MESA Medical Group
MGREF 2 RENEWABLES HOLDINGS SARL
mid atlantic packaging
Millennium City Centre
"Miller's Bakery, Inc."
"Millin Associates, LLC"
Mission Road
Mitsubishi Aluminum Co
MITSUI & CO
"MKG Productions, Inc."
MMC Group Holdings Limited
MMG AFRICA RESOURCES CO LTD 
MNT INVESTMENTS B.V.
Mobcast Services Limited
Mobile Investors
Mobility Holding Corporation
Modern Builders
Mojang Group
MojoTech LLC
Molotov SAS
"Mondo International, LLC"
Monte Vista Farming Company
Moore Stephens Tr
Morningside Translations
"MOTOROLA SOLUTIONS, INC."
Mountain H2O
Mountainland supply
"MPH CROSS ISLAND POWER, LLC"
"MT INTERMEDIATE HOLDINGS, LLC"
MT Misslbeck Technologies GmbH
Muddy Boots Software Limited
Murray Goulburn Co-Opervative Limited
"MYERS INDUSTRIES, INC."
N/A (Asset Sale)
NA Asset Purchase
Na Prikope
nanda technologies
"NATIONAL CONVENIENCE DISTRIBUTORS, LLC (AFFILIATE OF PALM BEACH CAPITAL)"
National Pipe
Native Systems Ltd
Neilston wind farm
"NEPTUNE PLATFORM BUYER, LLC (C/O ARLINGTON CAPITAL PARTNERS)"
Nera Networks (3)
Nestle Skin Health S.A.
Netrounds AB
NEW
New Hanover Regional Medical Center
NEW MOUNTAIN CAPITAL
"Next Level Internet, Inc."
NIKE INSURED TBC
Nokas
nore holding GmbH
Norland Holdings Limited
NORTHSTAR TBC
Northvolt AB
Nufarm latam
NWS TECHNOLOGY HOLDINGS
OASIS BIDCO 1 LIMITED
"Object Partners, Inc."
"OC COMPOSITE WORKS, LLC"
"of HUPPIN�S HI-FI, PHOTO & VIDEO, INC"
Ohio Materials
Old Mutual 2
Old World Spices�&�Seasonings
"OLDCASTLE BUILDINGENVELOPE, INC."
OM Financial Limited and OFM Australia Holdings Pty Ltd
OPAL BIDCO SAS
Open Fiber S.p.A.
OPERA BIDCO
Ophir-Rochor Commercial Pte. Ltd.
OPTANIX INC
"Optimal Geo, Inc."
OPTIMUS GROUP AUSTRALIA PTY LTD
"OPTIVATIONS INTERMEDIATE HOLDINGS, LLC"
Orchestra SA
Orion International
Outfront Media Sports
Oval Insurance
Ovia Health
Pace COntracting
PACHELBEL BIDCO S.P.A.
Paddington Central IV Unit Trust
Page Publishing
Pallas Windfarm Limited
Pal-Serv and its related entities
Panama Wind Energy Private Limited & Panama Wind Energy Godawari Private Limited
PANTAI HOLDINGS SDN. BHD.
PAPERWORKS
Paragon Holdings
PARIS HOLDINGS (CYM) II L.P (BLACKSTONE)
Parmaco oy
Pathoras Corporation
Payer Sciences
Paysafe
Payworks GmbH
Pedego Inc
PEF Services LLC
Pegasus Solutions Inc
Pelco Products
"Perform[cb] Holdings, Inc."
PERPETUAL (ASIA) LIMITED
Personal Genome Diagnostic
PFI HOLDING CORPORATION
Pharmacy Dvp Srv
Pharmaterials Limited
Phytel
"PIAB U.S.A., INC."
Pinnacle Life Limited
Pipe Holding I GmbH
Piranha Pipe & Precast
"Pittman�s Tree and Landscaping, Inc."
Pixelworks
PKW Holdings
Playtika Ltd
"PLM Asphalt & Concrete, Inc."
Plumbers supply of St Louis
Plumettaz Holding SA
"PNB HOLDINGS III, LLC"
POLSKA GRUPA ENERGETYCZNA SA - PGE
Polygon Real Estate
"POMP�S TIRE ORIGINAL EQUIPMENT SERVICES, LLC"
Pool Troopers
"POPSECRET POPCORN, LLC"
Portfolio of Long term care facilities - owned by the Kensington Group
POS Beteiligungs GmbH
POST CH KOMMUNIKATION AG
PRAEMIUM LTD
"PRECISE SYSTEMS, INC."
"Precision Fluorocarbon, LLC"
Premier Outlet Centre in Biatorbagy
"PRIME CAPITAL CO., LTD."
"PRIME Education, LLC"
"PRIMETAC HOLDING, LLC, C/O GOLDNER HAWN LP"
PRIORITY HEALTH
proactive Packaging & display
"PROCESSUNITY (PORTFOLIO COMPANY OF MARLIN MANAGEMENT COMPANY, LLC)"
"Progressive Behavior Science, Inc."
PROJECT HORIZON BIDCO UK LIMITED
PROJECT JULIET HOLDCO LLC
Project Oxford 2 Limited
Projekt Katowice sp. z o.o.
Promasidor Holdings Limited (second layer)
Promasidor Holdings Limited (third layer)
Propertise Loan Assets
ProShip
"Pro-Vision, Inc."
PSC GROUP LLC
PSE&G Solar Assets
PSG IV L.P.
PT ASURANSI MULTI ARTHA GUNA TBK.
PT Indesso Primatama
PT Link Net Tbk.
PT Solusi Tunas Pratama Tbk
PTFE & Polymer Solutions division
PTI Parent Corp
Puglia Solar Portfolio 1 SRL; Puglia Solar Portfolio 2 SRL and Puglia Solar Portfolio 3 SRL
Pure Flavor Holdings
PURE HEALTH UK BIDCO
PURGE RITE INTERMEDIATE LLC
QC Data
Qlarion LLC
QMAG Ltd
Quality Built LLC
QUALITY CARE INDIA LIMITED
"QUANTA INDUSTRIAL SOLUTIONS, LLC (C/O QUANTA SERVICES, INC.)"
"QUANTA SUPPLY SOLUTIONS, LLC (C/O QUANTA SERVICES, INC.)"
Questas Holdings Pty Ltd
Quimby Berlin S.a.r.l.
"QuinStreet, Inc., a Delaware corporation"
Quorum Health Resources
RACE ROCK
Radprax GmbH
Rail First Asset Management Group Holdings Pty
RAMON INVESTMENTS PTE LTD
RAPC Holding Company
Rapid Fire Protection
"Ray Klein, Inc."
"Rayven, Inc."
"RCP MQ HOLDINGS, LLC"
RecastTI
Record Connect
RECORDATI INDUSTRIA CHIMICA E FARMACEUTICA S.P.A.
Red Cap
"Red Cap Plumbing & Air, LLC"
Reden Solar
Refinitiv
Refresco Holding BV
Regulatory and Clinical Research Institute
REMORA HOLDCO LIMITED
Rendezvous Holdings
Renegade Gas Pty Ltd
"RENOVATION SYSTEMS, LLC C/O GOLDNER HAWN LP"
Rent Collect Pads
REPAIR BIDCO UK LIMITED
Reprise Software Inc.
ResMan LLC
Resolve Tech Solutions
"RESOURCE LABEL GROUP, LLC"
Resurs Bank
Retail Decisions Limited
"RF Monolithics, Inc"
RHG & Company
RIBBIT INC.
Ritchies Transport Holdings Limited
RIVER ASSOCIATES INVESTMENTS LP
Robert Bowden
"ROBEX, LLC"
ROCK BIDCO LIMITED
"ROHU MG SPAIN, S.L"
ROQUETTE FR�RES
"Rosboro, LLC"
