firm_id,firm_name,master_firm_id
2892,4 U SURROGACY CANADA INC,2892
9184,4026848 CANADA INC. FASLRS CONSULTATION FRONTLINE,9184
968,4191529 MANITOBA LTD. A/O ASSOCIATED REHABILITATION CONSULTANTS OF CANADA,968
30987,42 FILMS LTD,30987
11841,4381955 CANADA INC.,11841
5976,4423305 CANADA INC. DBA INSYMBIOSIS,5976
10690,442890 ONTARIO LTD.,10690
31534,4505 Meats Inc.,31534
1529,452277 ONTARIO LIMITED O/A ICI PARIS SKIN CLINIC & SPA,1529
9191,4535511 CANADA INC. FASLRS CANADA PEPTIDE,9191
21960,47th Street Business Improvement District Inc,21960
5205,499403 ONTARIO LIMITED O/A EFINITY,5205
5233,499403 ONTARIO LIMITED OA EFINITY,5233
3059,4BEDA SYSTEMS INC.,3059
25298,4e Brands NorthAmerica LLC,25298
17502,4FINANCE GROUP S.A.,17502
23808,4Gurus LLC dba Event Guru Software,23808
2720,4HEAD CONSULTING INC.,2720
22307,4IMPRINT GROUP PLC,22307
12173,4L ULTIMATE TOPCO CORPORATION,12173
21244,4SC AG,21244
26439,4TH INDUSTRIAL MANAGEMENT LTD,26439
4053,4WIRE TELECOM SERVICES INC.,4053
2546,5 MINDS MOBILITY INC.,2546
22884,5 Star Vape LLC,22884
13452,5002573 ONTARIO INC. O/A WELCOME HOMECARE,13452
11189,5003280 ONTARIO CORP. O/A EK ENGINEERING,11189
10827,5006886 ONTARIO LTD. O/B ERIC STREET,10827
11706,51.CA O/B 2258797 ONTARIO INC,11706
13393,536743 YUKON INC. O/A NORTHERN FOCUS COUNSELLING,13393
1047,538700 BC LTD. DBA LISA BELL & ASSOCIATES,1047
2471,54 HOLDINGS LLC GRAN RALLY LLC,2471
16376,55 NORTH MINING INC.,16376
2224,550572 BC LTD. O/A STEWART BROWN ASSOCIATES,2224
6571,5514KM CORPORATION,6571
967,564651 ALBERTA LTD. O/A TRUE GYDE SYSTEMS,967
7961,5797501 MANITOBA LTD. O/A FRESH PROJECTS,7961
1489,581259 AB LTD,1489
28800,597749 BC Ltd dba KaLoNa Group,28800
1017,5G ENERGY LTD,1017
16705,5I CAPITAL PTE LTD,16705
3270,5-L TECHNOLOGY INC,3270
19125,5N PLUS INC.,19125
24628,5U Golf Center LLC,24628
1222,6002251 CANADA INC. A/O VITAL LINK TRAINING SERVICES INC.,1222
6783,6029981 CANADA INC,6783
5319,6029981 CANADA INC & 9981 UX DESIGN STUDIO,5319
10457,605214 ONTARIO,10457
5909,6111017 MANITOBA LTD. / MAGELLAN VACATIONS INC.,5909
21560,612 CREATIVE INC,21560
3110,618865 ALBERTA LTD.,3110
6456,623617 SASKATCHEWAN LTD. O/A WESTERN AG PROFESSIONAL AGRONOMY,6456
11734,626738 ONTARIO LTD. O/A ADVANCED AV DESIGNS,11734
2187,6317414 MANITOBA LTD. O/A PROMIMITY MOBILE,2187
3965,634561 NB INC. O/A EVOLVING SOLUTIONS,3965
6892,6389538 CANADA INC. FASLRS INOCYBE TECHNOLOGIES,6892
23216,638961 Ontario Inc oa Smart Solutions & Zetetic Data Systems Ltd,23216
2019,6405879 MANITOBA LTD. O/A FAIRWAY DIVORCE SOLUTIONS,2019
5680,646321 ONTARIO LTD. O/A E.L.S.,5680
13365,6486703 CANADA INCORPORATED O/A PETER J. LAMB AND ASSOCIATES,13365
26028,65 EQUITY PARTNERS HOLDINGS PTE LTD,26028
10776,650230 B.C. INC. DBA BIOFREQUENCY CONSULTING,10776
959,650604 NB LTD. O/A THE SPA 654 CLUB,959
24473,6676405 CANADA LTD,24473
6657,67 SOLUTIONS INC,6657
26770,6705341 Manitoba Inc and GEG Distributors Inc,26770
13068,6769390 CANADA INC.,13068
1618,677159 ONTARIO LIMITED O/A NEW AGE SECURITY,1618
30975,678 TEST INSURED,30975
4582,687157 ONTARIO LIMITED,4582
13848,"690050 N.B. INC, DBA KNALYSIS TECHNOLOGIES",13848
2010,690358 ALBERTA LTD,2010
10691,6906117 CANADA INC.,10691
10257,6906117 CANADA INC. FASLRS CDRC RIVE-SUD,10257
11933,6910394 CANADA INC,11933
4803,6IX SHOOTERS CREATIVE INC,4803
13057,6SYNCT CONSULTING INC.,13057
5305,6TEMIK,5305
4032,7 DAZE,4032
1039,7 DAZE LLC,1039
18446,7 FATHOMS SKIN CARE,18446
6887,7003188 CANADA INC.,6887
12215,703512 ALBERTA LTD.,12215
9371,7041497 CANADA LTD.,9371
4778,7051395 CANADA INC. DBA HTA DIRECT SOURCING,4778
2901,7068450 CANADA INC,2901
1849,7168306 CANADA INC,1849
30994,72 FILMS LTD,30994
6648,7200595 CANADA INC. O/A INSENSYA LABORATOIRES,6648
10686,7206127 CANADA INC. DBA IMMUNI-T,10686
11355,7209908 CANADA INC. O/A RUSSELL MEADOWS RETIREMENT COMMUNITY,11355
3103,7226641 CANADA INC. O/A AMALTITEK,3103
2556,7251246 CANADA INC. DBA CONTRAX VMS,2556
3830,7265611 CANADA INC.,3830
11800,7325797 CANADA INC. FASLRS T.I. IMPAC,11800
11180,740912 ALBERTA LTD.,11180
5180,7682280 CANADA INC,5180
3112,769570 ALBERTA LTD.,3112
5099,7774672 CANADA INC. DBA DERME.CA,5099
5621,7810962 CANADA INC. DBA INSYMBIOSIS,5621
27381,786 Z Rental dba Texas Jump N Splash,27381
4576,7882190 CANADA INC. FASLRS ZOOMCO-MEDIC,4576
12917,7888775 CANADA,12917
13045,7888775 CANADA LIMITED,13045
30977,789 TEST INSURED,30977
5194,7917805 CANADA INC,5194
12508,7J DESIGN,12508
8051,8046255 CANADA INC. O/A VIATREXX,8051
9707,8179387 CANADA INC,9707
2806,8217955 CANADA INC. A/O COMMONWEALTH RESOURCE MANAGEMENT,2806
2790,8241104 CANADA INC. O/A DOTTO ONE,2790
6485,8303436 CANADA INC. O/A GROUPE DLM,6485
23197,836861 Yukon Inc,23197
12908,8422494 CANADA INC,12908
25286,846856 Ontario Inc oa Kennedy Sales,25286
10961,8532567 CANADA INC,10961
10234,8579008 CANADA INC.,10234
1528,866442 ONTARIO INC,1528
5497,8683727 CANADA INC,5497
10337,8704627 CANADA INC. O/A JOCKVALE CLINIC AND JOCKVALE PHARMACY,10337
5925,8709530 CANADA INC. A/O LEAD ACTION TRAINING,5925
10417,8722374 CANADA INC. FASLRS BEAUTÉ PARAMEDIKA,10417
2915,8728968 CANADA INC. O/A CANADIAN CLEAN ENERGY & MINES CONFERENCES,2915
12839,8834032 CANADA INC,12839
24190,8871582 Canada Inc oa The Coating Inspector,24190
14663,888 HOLDINGS PLC,14663
9678,891790 ONTARIO INC,9678
4416,8957223 CANADA INC.,4416
3531,8SI INC,3531
17360,"8X8, INC.",17360
9967,900 SOLUTIONS CORPORATIONS,9967
4233,9002-2120 QUEBEC INC.,4233
5260,9010-3276 QUEBEC INC,5260
13210,9029034 CANADA INC. O/A SMART BUILDING APPS O/A SMART PARKING,13210
12514,9031-7520 QUÉBEC INC. FASLRS PLACEMENT RH QUÉVILLON,12514
5379,9032-8722 QUEBEC INC,5379
13035,90419115 CANADA INC,13035
2158,9041915 CANADA INC,2158
13321,9042-8928 QUEBEC INC.,13321
10010,9045-9819 QUÉBEC INC.,10010
4543,9048-4486 QUEBEC INC,4543
5843,9057838 CANADA INC. DBA SKIN HEALTH CANADA,5843
2431,9063226 CANADA INC.,2431
13582,9066-8534 QUEBEC INC,13582
6497,9069-0793- QUÉBEC INC. DBA LUNETTERIE FARHAT COTE DES NEIGES,6497
5427,9071-6267 QU/BEC INC DBA LES RESIDENCES TOURNESOL,5427
9846,908 DEVICES INC,9846
9452,9084-5983 QUEBEC INC. O/A NORITECH TECHNOLOGIES,9452
10226,9099-9327 QUÉBEC INC. FASLRS ORDIGENI,10226
1813,9102-7524 QUEBEC INC FASLRS KINEPERFORMANCE,1813
2970,9104-4610 QUEBEC INC,2970
12888,911 GEAR,12888
4540,9111-5121 QUÉBEC INC. DBA INTEGRALL,4540
7984,9118-4531 QUÉBEC INC,7984
3357,9132-7015 QU/BEC INC. FASLRS UNI-D,3357
12332,9133-8368 QUEBEC INC. FASLRS DERMAFLORE,12332
5363,9133-9994 QUÉBEC INC.,5363
11959,9140-0986 QUEBEC INC.,11959
12747,9142-2493 QUÉBEC INC. FASLRS PGPR RELATIONS PUBLIQUES,12747
3280,9149-7073 QUÉBEC INC.,3280
5751,9152-3936 QUÉBEC INC. FASLRS LOGICIELS ZYMA,5751
12860,915548 ONTARIO INC O/A DIGITAL SECURITY CONCEPT,12860
12719,9156-3478 QUÉBEC INC FASLRS KE SECURE,12719
5450,9160-3886 QUEBEC INC. FASLRS LOGIC OR,5450
13060,9160-3886 QUEBEC INC. FASLRS RX SOLUTIONS ET SPI INC.,13060
4569,9161660 CANADA INC.,4569
6516,9167-3772 QUÉBEC INC FASLRS MICROTEC INFORMATIQUE,6516
10594,9177-3531 QUEBEC INC. FASLRS ABSOLU PEEL,10594
11096,9177-4208 QUEBEC INC. FASLRS CENTRE HYGIE,11096
11389,9177-4808 QUEBEC INC. FASLRS CENTRE HYGIE,11389
4578,9179-1210 QUBEC INC,4578
9329,9181-6686 QUÉBEC INC. FASLRS JC LOGIC,9329
2341,9186-0338 QUEBEC INC.DBA TRACTR.NET,2341
7980,9186-5758 QUEBEC INC. FASLRS SOLUTIONS CALL CENTER INC.,7980
5362,918676 ONTARIO INC O/A DOUGAN & ASSOCIATES ECOLOGICAL CONSULTING SERVICES,5362
3862,9188-5046 QUEBEC INC,3862
5352,9188-9147 QUBEC INC,5352
12640,9189-2117 QUÉBEC INC,12640
6127,9192859 CANADA INC,6127
6852,9198-8345 QUEBEC INC. FASLRS FORCEMEDIC,6852
11642,9204-2902 QUEBEC INC FASLRS CENTRE DE SANTE MED TREMBLANT,11642
12401,9208-9291 QUÉBEC INC. FASLRS MTRIP,12401
10511,9211-7027 QUÉBEC INC. FASLRS INTÉGRATION SANTÉ,10511
9983,9213-0277 QUÉBEC INC.,9983
11203,9215-3543 QU/BEC INC. FASLRS OKIDOO INTERACTIF,11203
11204,9215-3543 QUÉBEC INC. FASLRS OKIDOO INTERACTIF,11204
10887,9219-1030 QUEBEC INC. DBA P2D-ERGO,10887
9358,9219-9470 QUEBEC INC.,9358
9690,9220534 CANADA INC A/O D&S INFINITE SOLUTIONS,9690
3982,9221-2265 QUEBEC INC,3982
11862,9229183 CANADA INC,11862
4714,9229-5732 QUEBEC INC,4714
3025,9231-6124 QUEBEC INC. DBA BEYOND YOURSELF,3025
12111,9247-4246 QUÉBEC INC.,12111
3249,925 FREELANCING INC.,3249
5685,9255-7016 QUEBEC INC. O/A ZONERELOAD.COM,5685
12144,9261-7190 QUEBEC INC.,12144
13203,9263-7040 QUÉBEC INC,13203
10919,9263-8543 QUEBEC INC. DBA MAPPING MATTER,10919
11824,9266-8656 QUEBEC INC.,11824
3986,9267-5743 QC INC DBA HOUSE 9 DESIGN,3986
12146,9268 - 0321 QUÉBEC INC/HENE HAYECK,12146
6083,9273263 CANADA INC.,6083
2523,9274-9753 QUEBEC INC. / CJC PHARMACEUTICALS,2523
2211,9274-9753 QUÉBEC INC. / CJC PHARMACEUTICALS / PHARMA STULLN INC.,2211
10548,9277-9271 QUEBEC INC. FASLRS MILIJOURS AVOCATS,10548
9573,9281-3567 QUÉBEC INC.,9573
9898,9283-4324 QUEBEC INC,9898
2401,9289232 CANADA INC. A/O ROOF AI,2401
5410,9290-5579 QUÉBEC INC.,5410
5607,9292624 CANADA ASSOCIATION FAISANT AFFAIRES SOUS INNOCITÉ MTL,5607
10543,9295-4635 QUÉBEC INC.,10543
4281,9301-0627 QUÉBEC INC.,4281
12768,9303-9121 QUÉBEC INC. FASRS CLIC-ACTION,12768
2186,9305-6349 QUEBEC INC,2186
5100,9305-6828 QUEBEC INC.,5100
11628,9310-3760 QUEBEC INC. FASLRS RHEABRIO,11628
9516,9310-8686 QUÉBEC INC.,9516
