revenue,lower1,upper1,lower2,upper2,lower3,upper3,lower4,upper4,lower5,upper5,lower6,upper6,next
0,105,211.25,185.9,371.8,338,675,506,1013,717.6,1436.35,1688,3376,50000
50000,211.25,316.25,371.8,556.6,675,1013,1013,1519,1436.35,2153.95,3376,5062,1e+05
1e+05,316.25,422.5,556.6,742.5,1013,1350,1519,2025,2153.95,2872.7,5062,6750,150000
150000,422.5,527.5,742.5,928.4,1350,1688,2025,2531,2872.7,3590.3,6750,8438,2e+05
2e+05,527.5,685,928.4,1206.7,1688,2194,2531,3291,3590.3,4666.7,8438,10968,3e+05
3e+05,685,791.25,1206.7,1392.6,2194,2531,3291,3797,4666.7,5385.45,10968,12656,4e+05
4e+05,791.25,896.25,1392.6,1577.4,2531,2869,3797,4303,5385.45,6103.05,12656,14344,5e+05
5e+05,896.25,1423.75,1577.4,2505.8,2869,4556,4303,6834,6103.05,9693.35,14344,22782,1e+06
1e+06,1423.75,2267.5,2505.8,3990.8,4556,7256,6834,10884,9693.35,15437.6,22782,36282,2e+06
2e+06,2267.5,3111.25,3990.8,5475.8,7256,9956,10884,14934,15437.6,21181.85,36282,49782,3e+06
3e+06,3111.25,3850,5475.8,6774.9,9956,12319,14934,18478,21181.85,26208.5,49782,61594,4e+06
4e+06,3850,4587.5,6774.9,8075.1,12319,14681,18478,22022,26208.5,31234,61594,73406,5e+06
5e+06,4587.5,5221.25,8075.1,8483.2,14681,15127,22022,23136,31234,32814.1,73406,77118,6e+06
6e+06,5221.25,5853.75,8483.2,8891.3,15127,15572,23136,24249,32814.1,34394.2,77118,80832,7e+06
7e+06,5853.75,6486.25,8891.3,9292.8,15572,16010,24249,25343,34394.2,35944.4,80832,84476,8e+06
8e+06,6486.25,7118.75,9292.8,9685.5,16010,16439,25343,26416,35944.4,37467,84476,88054,9e+06
9e+06,7118.75,7752.5,9685.5,10079.3,16439,16868,26416,27489,37467,38989.6,88054,91632,1e+07
1e+07,7752.5,13025,10079.3,13791.8,16868,20918,27489,37614,38989.6,53349.65,91632,125382,2e+07
2e+07,13025,16822.5,13791.8,16985.1,20918,24415,37614,46322,53349.65,65757,125382,154542,3e+07
3e+07,16822.5,19986.25,16985.1,19650.4,24415,27329,46322,52241,65757,75916.1,154542,178842,4e+07
4e+07,19986.25,22517.5,19650.4,21788.8,27329,29662,52241,55372,75916.1,83824.65,178842,198282,5e+07
5e+07,22517.5,25848.75,21788.8,26875.2,29662,35162,55372,62367,83824.65,91964.35,198282,207108,1e+08
1e+08,25848.75,28021.25,26875.2,30384.2,35162,38840,62367,66861,91964.35,97087.6,207108,212454,1.5e+08
1.5e+08,28021.25,29672.5,30384.2,33148.5,38840,41681,66861,70245,97087.6,100894.1,212454,216330,2e+08
2e+08,29672.5,31020,33148.5,35465.1,41681,44026,70245,72987,100894.1,103949.65,216330,219384,2.5e+08
2.5e+08,31020,32166.25,35465.1,37477,44026,46041,72987,75307,103949.65,106514.15,219384,221912,3e+08
3e+08,32166.25,33167.5,37477,39266.7,46041,47816,75307,77326,106514.15,108732.5,221912,224072,3.5e+08
3.5e+08,33167.5,34061.25,39266.7,40887,47816,49408,77326,79119,108732.5,110690.95,224072,225960,4e+08
4e+08,34061.25,34868.75,40887,42370.9,49408,50857,79119,80735,110690.95,112447,225960,227638,4.5e+08
4.5e+08,34868.75,35607.5,42370.9,43743.7,50857,52189,80735,82208,112447,114042.05,227638,229150,5e+08
5e+08,35607.5,36290,43743.7,45024.1,52189,53424,82208,83564,114042.05,115504.85,229150,230528,5.5e+08
5.5e+08,36290,36923.75,45024.1,46225.3,53424,54577,83564,84821,115504.85,116856.1,230528,231792,6e+08
6e+08,36923.75,37516.25,46225.3,47359.4,54577,55659,84821,85994,116856.1,118114.2,231792,232960,6.5e+08
6.5e+08,37516.25,38073.75,47359.4,48433,55659,56681,85994,87095,118114.2,119289.5,232960,234048,7e+08
7e+08,38073.75,38600,48433,49456,56681,57648,87095,88132,119289.5,120395.8,234048,235064,7.5e+08
7.5e+08,38600,39100,49456,50431.7,57648,58569,88132,89114,120395.8,121438.85,235064,236020,8e+08
8e+08,39100,39573.75,50431.7,51365.6,58569,59446,89114,90046,121438.85,122426.7,236020,236920,8.5e+08
8.5e+08,39573.75,40027.5,51365.6,52262.1,59446,60286,90046,90934,122426.7,123366.25,236920,237774,9e+08
9e+08,40027.5,40460,52262.1,53123.4,60286,61091,90934,91781,123366.25,124260.95,237774,238582,9.5e+08
9.5e+08,40460,40875,53123.4,53955,61091,61865,91781,92593,124260.95,125116.55,238582,239352,1e+09
1e+09,40875,41274.5765537676,53955,54760.4605842039,61865,62611.6673631536,92593,93374.1671647617,125116.55,125937.706652264,239352,240088.559754521,1.5e+09
1.5e+09,41274.5765537676,41660.5990878193,54760.4605842039,55543.0356773599,62611.6673631536,63334.3257620417,93374.1671647617,94128.2389668152,125937.706652264,126728.5766056,240088.559754521,240795.715027799,1.55e+09
1.55e+09,41660.5990878193,42034.7470399788,55543.0356773599,56305.6886635235,63334.3257620417,64035.9791776992,94128.2389668152,94858.5616580734,126728.5766056,127492.865259687,240795.715027799,241477.035705938,1.6e+09
1.6e+09,42034.7470399788,42398.5264663206,56305.6886635235,57051.1104798702,64035.9791776992,64719.3363621693,94858.5616580734,95568.1267406602,127492.865259687,128233.871958459,241477.035705938,242135.67795506,1.65e+09
1.65e+09,42398.5264663206,42753.2858753927,57051.1104798702,57781.7387121703,64719.3363621693,65386.8350575986,95568.1267406602,96259.6051464191,128233.871958459,128954.531575647,242135.67795506,242774.430918928,1.7e+09
1.7e+09,42753.2858753927,43100.2311376928,57781.7387121703,58499.7769683802,65386.8350575986,66040.6654734204,96259.6051464191,96935.3789763013,128954.531575647,129657.452549235,242774.430918928,243395.75843832,1.75e+09
1.75e+09,43100.2311376928,43440.4393854188,58499.7769683802,59207.2140051689,66040.6654734204,66682.7926847854,96935.3789763013,97597.5707547101,129657.452549235,130344.951493006,243395.75843832,244001.83625426,1.8e+09
1.8e+09,43440.4393854188,43774.8718670936,59207.2140051689,59905.8422377788,66682.7926847854,67314.977739004,97597.5707547101,98248.0702282399,130344.951493006,131019.084560096,244001.83625426,244594.58513123,1.85e+09
