rp,curve,loss
rp_5,Europe Windstorm All (RMS),3761010773.00
rp_10,Europe Windstorm All (RMS),6206248528.00
rp_25,Europe Windstorm All (RMS),11325722008.00
rp_50,Europe Windstorm All (RMS),17610771643.00
rp_100,Europe Windstorm All (RMS),25324638611.00
rp_200,Europe Windstorm All (RMS),34653689667.00
rp_250,Europe Windstorm All (RMS),38120683842.00
rp_500,Europe Windstorm All (RMS),49752013346.00
rp_1000,Europe Windstorm All (RMS),61366209822.00
rp_5,Europe Windstorm Austria (RMS),80416277.00
rp_10,Europe Windstorm Austria (RMS),138799387.00
rp_25,Europe Windstorm Austria (RMS),242184105.00
rp_50,Europe Windstorm Austria (RMS),345898126.00
rp_100,Europe Windstorm Austria (RMS),465591911.00
rp_200,Europe Windstorm Austria (RMS),593596441.00
rp_250,Europe Windstorm Austria (RMS),636530016.00
rp_500,Europe Windstorm Austria (RMS),775716506.00
rp_1000,Europe Windstorm Austria (RMS),932039647.00
rp_5,Europe windstorm Belgium (RMS),130563607.00
rp_10,Europe windstorm Belgium (RMS),250512082.00
rp_25,Europe windstorm Belgium (RMS),510898703.00
rp_50,Europe windstorm Belgium (RMS),788577767.00
rp_100,Europe windstorm Belgium (RMS),1143835439.00
rp_200,Europe windstorm Belgium (RMS),1612526518.00
rp_250,Europe windstorm Belgium (RMS),1797890810.00
rp_500,Europe windstorm Belgium (RMS),2542546406.00
rp_1000,Europe windstorm Belgium (RMS),3968049388.00
rp_5,Europe Windstorm Czech Republic (RMS),36574189.00
rp_10,Europe Windstorm Czech Republic (RMS),68307241.00
rp_25,Europe Windstorm Czech Republic (RMS),123512862.00
rp_50,Europe Windstorm Czech Republic (RMS),172185366.00
rp_100,Europe Windstorm Czech Republic (RMS),227618418.00
rp_200,Europe Windstorm Czech Republic (RMS),294250182.00
rp_250,Europe Windstorm Czech Republic (RMS),319337548.00
rp_500,Europe Windstorm Czech Republic (RMS),413498670.00
rp_1000,Europe Windstorm Czech Republic (RMS),532702179.00
rp_5,Europe Windstorm Denmark (RMS),152666524.00
rp_10,Europe Windstorm Denmark (RMS),320423128.00
rp_25,Europe Windstorm Denmark (RMS),695326309.00
rp_50,Europe Windstorm Denmark (RMS),1090385449.00
rp_100,Europe Windstorm Denmark (RMS),1567555002.00
rp_200,Europe Windstorm Denmark (RMS),2122091195.00
rp_250,Europe Windstorm Denmark (RMS),2315197214.00
rp_500,Europe Windstorm Denmark (RMS),2945717597.00
rp_1000,Europe Windstorm Denmark (RMS),3610744381.00
rp_5,Europe Windstorm France (RMS),1006996614.00
rp_10,Europe Windstorm France (RMS),2022139646.00
rp_25,Europe Windstorm France (RMS),4309555373.00
rp_50,Europe Windstorm France (RMS),6600870909.00
rp_100,Europe Windstorm France (RMS),9267988877.00
rp_200,Europe Windstorm France (RMS),12139607537.00
rp_250,Europe Windstorm France (RMS),13098578355.00
rp_500,Europe Windstorm France (RMS),16196875000.00
rp_1000,Europe Windstorm France (RMS),19462485566.00
rp_5,Europe Windstorm Germany (RMS),1231076122.00
rp_10,Europe Windstorm Germany (RMS),2119040674.00
rp_25,Europe Windstorm Germany (RMS),3854103987.00
rp_50,Europe Windstorm Germany (RMS),5603785317.00
rp_100,Europe Windstorm Germany (RMS),7845699633.00
rp_200,Europe Windstorm Germany (RMS),10788701637.00
rp_250,Europe Windstorm Germany (RMS),11925859787.00
rp_500,Europe Windstorm Germany (RMS),16157044428.00
rp_1000,Europe Windstorm Germany (RMS),21460343706.00
rp_5,Europe Windstorm Ireland (RMS),99303443.00
rp_10,Europe Windstorm Ireland (RMS),187345650.00
rp_25,Europe Windstorm Ireland (RMS),386364546.00
rp_50,Europe Windstorm Ireland (RMS),595586775.00
rp_100,Europe Windstorm Ireland (RMS),867474928.00
rp_200,Europe Windstorm Ireland (RMS),1258383003.00
rp_250,Europe Windstorm Ireland (RMS),1412129021.00
rp_500,Europe Windstorm Ireland (RMS),1909231648.00
rp_1000,Europe Windstorm Ireland (RMS),2397638816.00
rp_5,Europe Windstorm Luxembourg (RMS),8197313.00
rp_10,Europe Windstorm Luxembourg (RMS),16142757.00
rp_25,Europe Windstorm Luxembourg (RMS),34702895.00
rp_50,Europe Windstorm Luxembourg (RMS),57208565.00
rp_100,Europe Windstorm Luxembourg (RMS),84241310.00
rp_200,Europe Windstorm Luxembourg (RMS),119081451.00
rp_250,Europe Windstorm Luxembourg (RMS),133706349.00
rp_500,Europe Windstorm Luxembourg (RMS),198777094.00
rp_1000,Europe Windstorm Luxembourg (RMS),288124351.00
rp_5,Europe Windstorm Netherlands (RMS),197175551.00
rp_10,Europe Windstorm Netherlands (RMS),386866771.00
rp_25,Europe Windstorm Netherlands (RMS),854036548.00
rp_50,Europe Windstorm Netherlands (RMS),1525755892.00
rp_100,Europe Windstorm Netherlands (RMS),2556881345.00
rp_200,Europe Windstorm Netherlands (RMS),3846867675.00
rp_250,Europe Windstorm Netherlands (RMS),4312595576.00
rp_500,Europe Windstorm Netherlands (RMS),5876463377.00
rp_1000,Europe Windstorm Netherlands (RMS),7502806608.00
rp_5,Europe Windstorm Slovakia (RMS),8417256.00
rp_10,Europe Windstorm Slovakia (RMS),16603237.00
rp_25,Europe Windstorm Slovakia (RMS),33356421.00
rp_50,Europe Windstorm Slovakia (RMS),49415116.00
rp_100,Europe Windstorm Slovakia (RMS),67136643.00
rp_200,Europe Windstorm Slovakia (RMS),85868510.00
rp_250,Europe Windstorm Slovakia (RMS),92038841.00
rp_500,Europe Windstorm Slovakia (RMS),111707156.00
rp_1000,Europe Windstorm Slovakia (RMS),132243047.00
rp_5,Europe Windstorm Sweden (RMS),86325661.00
rp_10,Europe Windstorm Sweden (RMS),152829596.00
rp_25,Europe Windstorm Sweden (RMS),288251981.00
rp_50,Europe Windstorm Sweden (RMS),455718867.00
rp_100,Europe Windstorm Sweden (RMS),681197743.00
rp_200,Europe Windstorm Sweden (RMS),986015792.00
rp_250,Europe Windstorm Sweden (RMS),1057248745.00
rp_500,Europe Windstorm Sweden (RMS),1236462334.00
rp_1000,Europe Windstorm Sweden (RMS),1409372088.00
rp_5,Europe Windstorm Switzerland (RMS),55959208.00
rp_10,Europe Windstorm Switzerland (RMS),133869900.00
rp_25,Europe Windstorm Switzerland (RMS),335818793.00
rp_50,Europe Windstorm Switzerland (RMS),599528764.00
rp_100,Europe Windstorm Switzerland (RMS),940468313.00
rp_200,Europe Windstorm Switzerland (RMS),1309779657.00
rp_250,Europe Windstorm Switzerland (RMS),1430174865.00
rp_500,Europe Windstorm Switzerland (RMS),1815351368.00
