Class of Business,Class of Business Code,Pareto Parameter,Neg BI ODF,Comment
AA:AUTO HOLDSURE,AA,1.5,1.25,
AB:BANKS/FIDELITY,AB,1.5,1.25,
AM:MISCELLANEOUS,AM,1.5,1.25,
AR:CLASH RISK EXCESS,AR,1.5,1.25,
AW:WCA,AW,1.5,1.25,New
BB:BBB,BB,1.5,1.25,
BC:COMMERCIAL CRIME,BC,1.5,1.25,
BE:ENVIRONMENTAL CLAIMS MADE,BE,1.5,1.25,New
BF:FIDELITY,BF,1.3,2.25,
BG:ENVIRONMENTAL,BG,1.5,1.25,
BJ:OLD COB CODES,BJ,1.5,1.25,
BM:MISCELLANEOUS,BM,1.5,1.25,
BP:BREACH RESPONSE PHYSICIANS,BP,1.5,2.5,
BR:BREACH RESPONSE,BR,1.5,2.5,
BS:STOCKBROKERS,BS,1.5,1.25,
BT:TECHNOLOGY CRIME,BT,1.5,1.25,
BU:RWI BUYER REPS & WARRANTY (WARRANTY & INDEMNITY) INSURANCE,BU,1.5,1.25,New
BV:VAULT RISKS/CASH IN TRANSIT,BV,1.4,2,
BZ:FINANCIAL SPECIAL,BZ,1.5,1.25,
DB:FIDUCIARY (EPL),DB,1.5,2.5,
DC:D&O COMMUNICATIONS,DC,1.5,1.25,
DD:D&O MEDIA,DD,1.5,1.25,
DE:D&O ENGINEERING/CONSTRUCTION,DE,1.5,1.25,
DF:D&O FINANCIAL INSTITUTIONS,DF,1.5,1.25,
DG:D&O MANUFACTURING,DG,1.5,1.25,
DH:D&O HIGH-TECH,DH,1.5,1.25,
DJ:D&O MANAGEMENT LIABILITY,DJ,1.5,1.25,
DL:D&O LEISURE/HOTELS,DL,1.5,1.25,
DM:D&O MISCELLANEOUS,DM,1.5,1.25,
DN:D&O NATURAL RESOURSES,DN,1.5,1.25,
DO:D&O PUBLIC OFFICIALS,DO,1.5,1.25,
DP:D&O PHARMACEUTICALS,DP,1.5,1.25,
DR:D&O RETAIL,DR,1.5,1.25,
DS:D&O SERVICES,DS,1.5,1.25,
DT:D&O TRANSPORT,DT,1.5,1.25,
DU:D&O UTILITIES,DU,1.5,1.25,
DV:D&O VENTURE CAPITAL/PRIVATE EQUITY,DV,1.5,1.25,
DW:D&O SOFTWARE,DW,1.5,1.25,
DX:NOT FOR PROFIT D&O,DX,1.5,1.25,
DY:PCL (D&O),DY,1.5,1.25,
DZ:ML PACKAGE POLICY,DZ,1.5,1.25,
